row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,Số dư đầu năm (trình bày lại) > Ngày 01/01/2016 > VND,Số dư đầu năm (trình bày lại) > Ngày 01/01/2017 > VND,Số tăng/giảm > Năm trước (trình bày lại) > Tăng > VND,Số tăng/giảm > Năm trước (trình bày lại) > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31/12/2016(trình bày lại) > VND,Số dư cuối năm > Ngày 31/12/2017 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm (trình bày lại) > Ngày 01/01/2016 > VND,numeric__Số dư đầu năm (trình bày lại) > Ngày 01/01/2017 > VND,numeric__Số tăng/giảm > Năm trước (trình bày lại) > Tăng > VND,numeric__Số tăng/giảm > Năm trước (trình bày lại) > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31/12/2016(trình bày lại) > VND,numeric__Số dư cuối năm > Ngày 31/12/2017 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,4.829.752.217.600,4.927.409.917.200,97.677.699.600,(20.000.000),100.290.896.034,178.167.966,4.927.409.917.200,5.027.878.981.200,,4829752217600.0,4927409917200.0,97677699600.0,-20000000.0,100290896034.0,178167966.0,4927409917200.0,5027878981200.0
1.1. Cổ phiếu phổ thông,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 1.1. Cổ phiếu phổ thông,1.1. Cổ phiếu phổ thông,,4.800.636.840.000,4.900.636.840.000,100.000.000.000,-,100.000.000.000,-,4.900.636.840.000,5.000.636.840.000,,4800636840000.0,4900636840000.0,100000000000.0,,100000000000.0,,4900636840000.0,5000636840000.0
1.2. Thặng dư vốn cổ phần,I. BIÊN ĐÔNG VỐN CHỦ SỞ HỮU > 1.2. Thặng dư vốn cổ phần,1.2. Thặng dư vốn cổ phần,,29.285.860.000(170.482.400),29.265.860.000(2.492.782.800),-,(20.000.000),290.896.034,(74.000.000),29.265.860.000(2.492.782.800),29.482.756.034(2.240.614.834),,,,,-20000000.0,290896034.0,-74000000.0,,
1.3. Cổ phiếu quỹ,1.3. Cổ phiếu quỹ,1.3. Cổ phiếu quỹ,,,,,,,,,,,,,,,,,,
2. Quỹ dự trữ bổ sung vốn điều lệ,1.3. Cổ phiếu quỹ > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,,265.965.319.999,308.560.605.893,42.595.285.894,-,43.851.792.903,-,308.560.605.893,352.412.398.796,,265965319999.0,308560605893.0,42595285894.0,,43851792903.0,,308560605893.0,352412398796.0
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,1.3. Cổ phiếu quỹ > 3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,181.457.725.315,224.053.011.209,42.595.285.894,-,43.851.792.903,-,224.053.011.209,267.904.804.112,,181457725315.0,224053011209.0,42595285894.0,,43851792903.0,,224053011209.0,267904804112.0
4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,1.3. Cổ phiếu quỹ > 4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,634.134.195.908,598.524.068.082,522.159.610.919,(557.769.738.745),572.211.540.410,(596.519.558.618),598.524.068.082,574.216.049.874,,634134195908.0,598524068082.0,522159610919.0,-557769738745.0,572211540410.0,-596519558618.0,598524068082.0,574216049874.0
5. Lợi nhuận chưa phân phối,1.3. Cổ phiếu quỹ > 5. Lợi nhuận chưa phân phối,5. Lợi nhuận chưa phân phối,,1.263.344.516.991,1.514.002.652.921,1.109.812.856.443,(859.154.720.513),1.383.288.812.867,(967.853.828.980),1.514.002.652.921,1.929.437.636.808,,1263344516991.0,1514002652921.0,1109812856443.0,-859154720513.0,1383288812867.0,-967853828980.0,1514002652921.0,1929437636808.0
