row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị hợp lýVND,Số đầu năm (trình bày lại) > Giá gốcVND,Số đầu năm (trình bày lại) > Giá trị hợp lýVND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị hợp lýVND,numeric__Số đầu năm (trình bày lại) > Giá gốcVND,numeric__Số đầu năm (trình bày lại) > Giá trị hợp lýVND
Cổ phiếu và Chứng chỉ quỹ (CCQ) niêm yết (1),Cổ phiếu và Chứng chỉ quỹ (CCQ) niêm yết (1),Cổ phiếu và Chứng chỉ quỹ (CCQ) niêm yết (1),1.111.342.485.236,1.135.747.783.980,1.190.894.540.722,1.181.025.317.550,1111342485236.0,1135747783980.0,1190894540722.0,1181025317550.0
HPG,HPG,HPG,21.461.319.460,30.578.713.900,62.389.734.766,62.883.142.250,21461319460.0,30578713900.0,62389734766.0,62883142250.0
SSC,SSC,SSC,87.936.818.451,97.164.419.200,164.102.082.037,115.149.069.900,87936818451.0,97164419200.0,164102082037.0,115149069900.0
FPT,FPT,FPT,66.533.044.267,65.851.317.300,183.082.847.113,183.665.416.000,66533044267.0,65851317300.0,183082847113.0,183665416000.0
PVS,PVS,PVS,11.267.734,16.921.200,77.970.999.907,63.439.447.600,11267734.0,16921200.0,77970999907.0,63439447600.0
DBC,DBC,DBC,251.330.479.988,254.267.187.300,251.288.227.278,291.843.753.000,251330479988.0,254267187300.0,251288227278.0,291843753000.0
ELC,ELC,ELC,203.948.435.705,128.478.216.400,206.634.398.872,235.126.232.000,203948435705.0,128478216400.0,206634398872.0,235126232000.0
PET,PET,PET,497.178,578.200,45.060.789.684,31.305.912.700,497178.0,578200.0,45060789684.0,31305912700.0
LAS,LAS,LAS,466.693.191,335.520.000,41.063.264.511,43.837.664.000,466693191.0,335520000.0,41063264511.0,43837664000.0
VAF,VAF,VAF,66.339.779.235,35.692.880.000,67.766.775.917,45.253.072.700,66339779235.0,35692880000.0,67766775917.0,45253072700.0
FMC,FMC,FMC,177.875.499.093,176.062.033.200,194.750,192.000,177875499093.0,176062033200.0,194750.0,192000.0
VCG,VCG,VCG,32.961.896.579,26.601.515.400,20.828.986,25.717.500,32961896579.0,26601515400.0,20828986.0,25717500.0
PLX,PLX,PLX,180.274.333.463,290.288.850.000,-,-,180274333463.0,290288850000.0,,
Cổ phiếu và CCQ niêm yết khác,Cổ phiếu và CCQ niêm yết khác,Cổ phiếu và CCQ niêm yết khác,22.202.420.892,30.409.631.880,91.514.396.901,108.495.697.900,22202420892.0,30409631880.0,91514396901.0,108495697900.0
Cổ phiếu và CCQ chưa niêm yết,Cổ phiếu và CCQ chưa niêm yết,Cổ phiếu và CCQ chưa niêm yết,105.931.464.856,88.374.404.720,82.191.081.939,64.047.685.334,105931464856.0,88374404720.0,82191081939.0,64047685334.0
CTCP Kính Viglacera Đáp Cầu,CTCP Kính Viglacera Đáp Cầu,CTCP Kính Viglacera Đáp Cầu,15.200.000.000,-,15.200.000.000,-,15200000000.0,,15200000000.0,
CCQ SSIBF,CCQ SSIBF,CCQ SSIBF,40.000.000.000,41.600.600.000,-,-,40000000000.0,41600600000.0,,
CTCP Xây dựngCông nghiệp Descon,CTCP Xây dựngCông nghiệp Descon,CTCP Xây dựngCông nghiệp Descon,17.456.571.492,8.182.129.000,17.456.571.492,9.337.620.500,17456571492.0,8182129000.0,17456571492.0,9337620500.0
CCQ SSISCA,CCQ SSISCA,CCQ SSISCA,26.500.000.000,38.567.128.950,7.500.000.000,10.647.746.309,26500000000.0,38567128950.0,7500000000.0,10647746309.0
"CTCP Đầu tư ĐườngMật trời (""SSIR"")","CTCP Đầu tư ĐườngMật trời (""SSIR"")","CTCP Đầu tư ĐườngMật trời (""SSIR"")",-,-,15.000.000.000,44.021.457.129,,,15000000000.0,44021457129.0
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,6.774.893.364,24.546.770,27.034.510.447,40.861.396,6774893364.0,24546770.0,27034510447.0,40861396.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,204.725.480.000,204.725.480.000,302.337.500.100,302.337.500.100,204725480000.0,204725480000.0,302337500100.0,302337500100.0
Tổng cộng,Tổng cộng,Tổng cộng,1.421.999.430.092,1.428.847.668.700,1.575.423.122.761,1.547.410.502.984,1421999430092.0,1428847668700.0,1575423122761.0,1547410502984.0
