row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị hợp lýVND,Số đầu năm (trình bày lại) > Giá gốcVND,Số đầu năm (trình bày lại) > Giá trị hợp lýVND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị hợp lýVND,numeric__Số đầu năm (trình bày lại) > Giá gốcVND,numeric__Số đầu năm (trình bày lại) > Giá trị hợp lýVND
Cổ phiếu niêm yết (1),Cổ phiếu niêm yết (1),Cổ phiếu niêm yết (1),557.013.231.309,1.259.576.290.700,798.022.774.218,1.379.446.842.300,557013231309.0,1259576290700.0,798022774218.0,1379446842300.0
VSC,VSC,VSC,44.725.223.998,50.970.695.000,175.885.933.796,204.374.352.000,44725223998.0,50970695000.0,175885933796.0,204374352000.0
TMS,TMS,TMS,107.198.714.110,211.112.775.000,112.910.688.712,245.941.939.400,107198714110.0,211112775000.0,112910688712.0,245941939400.0
OPC,OPC,OPC,113.376.260.629,233.773.800.000,113.218.396.107,151.464.696.600,113376260629.0,233773800000.0,113218396107.0,151464696600.0
DHC,DHC,DHC,48.060.985.032,102.335.269.400,42.189.091.850,64.455.037.500,48060985032.0,102335269400.0,42189091850.0,64455037500.0
SGN,SGN,SGN,172.672.917.801,578.439.054.900,188.492.860.286,493.261.486.200,172672917801.0,578439054900.0,188492860286.0,493261486200.0
HAH,HAH,HAH,26.089.630.020,19.228.100.000,26.089.635.366,24.868.239.300,26089630020.0,19228100000.0,26089635366.0,24868239300.0
SGC,SGC,SGC,1.514.960.064,4.670.640.000,1.524.936.566,4.622.340.000,1514960064.0,4670640000.0,1524936566.0,4622340000.0
CTD,CTD,CTD,21.309.357.211,31.435.255.500,107.474.155.061,127.765.695.000,21309357211.0,31435255500.0,107474155061.0,127765695000.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,22.065.182.444,27.610.700.900,30.237.076.474,62.693.056.300,22065182444.0,27610700900.0,30237076474.0,62693056300.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,162.207.227.300,179.129.627.300,147.905.540.000,165.005.540.000,162207227300.0,179129627300.0,147905540000.0,165005540000.0
"Tổng Công ty Máyđộng lực và máynông nghiệp ViệtNam (""VEAM"")","Tổng Công ty Máyđộng lực và máynông nghiệp ViệtNam (""VEAM"")","Tổng Công ty Máyđộng lực và máynông nghiệp ViệtNam (""VEAM"")",37.725.600.000,54.648.000.000,142.900.000.000,160.000.000.000,37725600000.0,54648000000.0,142900000000.0,160000000000.0
CTCP PAN Farm,CTCP PAN Farm,CTCP PAN Farm,53.408.921.300,53.408.921.300,-,-,53408921300.0,53408921300.0,,
CTCP Dược phẩm CVI,CTCP Dược phẩm CVI,CTCP Dược phẩm CVI,27.924.100.000,27.924.100.000,-,-,27924100000.0,27924100000.0,,
CTCP ConCung,CTCP ConCung,CTCP ConCung,28.109.556.000,28.109.556.000,-,-,28109556000.0,28109556000.0,,
Cổ phiếu chưa niêmyết khác,Cổ phiếu chưa niêmyết khác,Cổ phiếu chưa niêmyết khác,15.039.050.000,15.039.050.000,5.005.540.000,5.005.540.000,15039050000.0,15039050000.0,5005540000.0,5005540000.0
Tổng cộng,Tổng cộng,Tổng cộng,719.220.458.609,1.438.705.918.000,945.928.314.218,1.544.452.382.300,719220458609.0,1438705918000.0,945928314218.0,1544452382300.0
