row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước (trình bày lại) VND,numeric__Năm nay VND,numeric__Năm trước (trình bày lại) VND
Chi phí môi giới chứng khoán,Chi phí môi giới chứng khoán,Chi phí môi giới chứng khoán,195.949.196.141,99.814.335.761,195949196141.0,99814335761.0
Chi phí hoạt động lưu ký,Chi phí hoạt động lưu ký,Chi phí hoạt động lưu ký,18.364.941.338,14.217.781.607,18364941338.0,14217781607.0
Chi phí lương và các khoản khác theo lương,Chi phí lương và các khoản khác theo lương,Chi phí lương và các khoản khác theo lương,281.391.322.027,149.627.879.241,281391322027.0,149627879241.0
"Chi phí BHXH, BHYT, KPCĐ, BHTN","Chi phí BHXH, BHYT, KPCĐ, BHTN","Chi phí BHXH, BHYT, KPCĐ, BHTN",12.091.227.250,9.940.647.800,12091227250.0,9940647800.0
Chi phí vật tư văn phòng,Chi phí vật tư văn phòng,Chi phí vật tư văn phòng,922.255.305,669.554.542,922255305.0,669554542.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",5.678.473.772,3.525.633.902,5678473772.0,3525633902.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,5.135.085.780,3.397.793.856,5135085780.0,3397793856.0
Chi phí dự phòng và hoàn nhập dự phòng,Chi phí dự phòng và hoàn nhập dự phòng,Chi phí dự phòng và hoàn nhập dự phòng,(620.599.691),11.731.826.423,-620599691.0,11731826423.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,74.455.475.783,59.447.601.912,74455475783.0,59447601912.0
Chi phí về vốn,Chi phí về vốn,Chi phí về vốn,42.629.931.820,32.411.727.700,42629931820.0,32411727700.0
Chi phí khác,Chi phí khác,Chi phí khác,13.464.216.674,13.163.885.786,13464216674.0,13163885786.0
Tổng cộng,Tổng cộng,Tổng cộng,649.461.526.199,397.948.668.530,649461526199.0,397948668530.0
