row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng (1) VND,Tự doanh VND,Kinh doanh nguồn vốn VND,Ngân hàng đầu tư và các bộ phận khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng (1) VND,numeric__Tự doanh VND,numeric__Kinh doanh nguồn vốn VND,numeric__Ngân hàng đầu tư và các bộ phận khác VND,numeric__Tổng cộng VND
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,Năm nay > 1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1.332.524.951.569,1.031.348.440.364,481.530.056.150,111.356.740.785,2.956.760.188.868,1332524951569.0,1031348440364.0,481530056150.0,111356740785.0,2956760188868.0
2. Các chi phí trực tiếp,Năm nay > 2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,576.680.904.667,569.822.741.571,320.650.933.080,63.146.851.347,1.530.301.430.665,576680904667.0,569822741571.0,320650933080.0,63146851347.0,1530301430665.0
3. Khấu hạo và các chi phí phân bổ,Năm nay > 3. Khấu hạo và các chi phí phân bổ,3. Khấu hạo và các chi phí phân bổ,85.964.987.440,28.160.944.160,11.857.239.647,22.232.324.338,148.215.495.585,85964987440.0,28160944160.0,11857239647.0,22232324338.0,148215495585.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Năm nay > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,669.879.059.462,433.364.754.633,149.021.883.423,25.977.565.100,1.278.243.262.618,669879059462.0,433364754633.0,149021883423.0,25977565100.0,1278243262618.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,,,,,
1. Tài sản bộ phân,Số dư cuối năm > 1. Tài sản bộ phân,1. Tài sản bộ phân,5.776.122.886.608,3.997.769.288.094,7.987.811.956.778,31.349.454.326,17.793.053.585.806,5776122886608.0,3997769288094.0,7987811956778.0,31349454326.0,17793053585806.0
2. Tài sản phân bổ,Số dư cuối năm > 2. Tài sản phân bổ,2. Tài sản phân bổ,162.470.817.791,53.223.198.932,22.409.767.971,42.018.314.946,280.122.099.640,162470817791.0,53223198932.0,22409767971.0,42018314946.0,280122099640.0
3. Tài sản không phân bổ,Số dư cuối năm > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,172.222.637.418,,,,,172222637418.0
Tổng tài sản,Số dư cuối năm > Tổng tài sản,Tổng tài sản,5.938.593.704.399,4.050.992.487.026,8.010.221.724.749,73.367.769.272,18.245.398.322.864,5938593704399.0,4050992487026.0,8010221724749.0,73367769272.0,18245398322864.0
4. Nợ phải trả bộ phân,Số dư cuối năm > 4. Nợ phải trả bộ phân,4. Nợ phải trả bộ phân,512.609.362.438,337.441.488.510,8.696.615.934.198,5.119.599.349,9.551.786.384.495,512609362438.0,337441488510.0,8696615934198.0,5119599349.0,9551786384495.0
5. Nợ phân bổ,Số dư cuối năm > 5. Nợ phân bổ,5. Nợ phân bổ,134.327.327.587,44.003.779.727,18.527.907.253,34.739.826.100,231.598.840.667,134327327587.0,44003779727.0,18527907253.0,34739826100.0,231598840667.0
6. Nợ không phân bổ,Số dư cuối năm > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,310.163.226.912,,,,,310163226912.0
Tổng công nợ,Số dư cuối năm > Tổng công nợ,Tổng công nợ,646.936.690.025,381.445.268.237,8.715.143.841.451,39.859.425.449,10.093.548.452.074,646936690025.0,381445268237.0,8715143841451.0,39859425449.0,10093548452074.0
