row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay VND,Năm trước (trình bày lại) VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước (trình bày lại) VND
,,,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận trước thuế TNDN,,1.278.243.262.618,1.061.010.297.660,,,1278243262618.0,1061010297660.0
02,02,02,Điều chỉnh cho các khoản:,,(701.020.207.292),(540.723.730.447),,,-701020207292.0,-540723730447.0
03,03,03,Khấu hao TSCĐ,,11.480.281.614,8.869.581.045,,,11480281614.0,8869581045.0
04,04,04,Các khoản dự phòng,,(620.599.691),12.491.380.694,,,-620599691.0,12491380694.0
05,05,05,Lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,,173.396.382,-,,,173396382.0,
06,06,06,Chi phí lãi vay,,343.901.229.535,269.313.493.289,,,343901229535.0,269313493289.0
07,07,07,Lãi từ hoạt động đầu tư,,(458.452.123.615),(286.905.971.801),,,-458452123615.0,-286905971801.0
08,08,08,Dự thu tiền lãi,,(597.056.891.517),(544.488.668.219),,,-597056891517.0,-544488668219.0
09,09,09,Các khoản điều chỉnh khác,,(445.500.000),(3.545.455),,,-445500000.0,-3545455.0
10,10,10,Tăng các chi phí phi tiền tệ,,323.898.791.622,264.158.370.571,,,323898791622.0,264158370571.0
11,11,11,Lỗ đánh giá lại giá trị các tài sản tài chính FVTPL,,327.790.083.420,234.493.830.472,,,327790083420.0,234493830472.0
13,13,13,(Hoàn nhập)/lỗ suy giảm giá trị các khoản cho vay,,(5.359.427.433),28.431.004.933,,,-5359427433.0,28431004933.0
14,14,14,Lỗ về ghi nhận chênh lệch đánh giá theo giá trị hợp lý tài sản tài chính AFS khi phân loại lại,,1.468.135.635,1.233.535.166,,,1468135635.0,1233535166.0
18,18,18,Giảm các doanh thu phi tiền tệ,,(588.944.478.061),(624.669.938.181),,,-588944478061.0,-624669938181.0
19,19,19,Lãi đánh giá lại giá trị các tài sản tài chính FVTPL,,(362.650.941.804),(357.461.895.280),,,-362650941804.0,-357461895280.0
20,20,20,Lãi về ghi nhận chênh lệch đánh giá theo giá trị hợp lý tài sản tài chính AFS khi phân loại lại,,(226.293.536.257),(267.208.042.901),,,-226293536257.0,-267208042901.0
30,30,30,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,312.177.368.887,159.774.999.603,,,312177368887.0,159774999603.0
31,31,31,Giảm/(tăng) tài sản tài chính FVTPL,,379.032.638.757,(36.166.095.029),,,379032638757.0,-36166095029.0
32,32,32,(Tăng)/giảm các khoản đầu tư HTM,,(491.171.360.987),699.290.399.581,,,-491171360987.0,699290399581.0
33,33,33,Tăng các khoản cho vay,,(1.984.894.287.302),(145.105.474.216),,,-1984894287302.0,-145105474216.0
34,34,34,Giảm/(tăng) tài sản tài chính AFS,,226.707.855.613,(167.196.709.943),,,226707855613.0,-167196709943.0
35,35,35,Giảm/(tăng) phải thu bán các tài sản tài chính,,26.807.894.500,(50.954.500.000),,,26807894500.0,-50954500000.0
37,37,37,Tăng phải thu các dịch vụ CTCK cung cấp,,(27.439.344.861),(10.332.083.426),,,-27439344861.0,-10332083426.0
39,39,39,(Tăng)/giảm các khoản phải thu khác,,(26.177.045.979),947.613.536,,,-26177045979.0,947613536.0
40,40,40,(Tăng)/giảm các tài sản khác,,(49.184.661.415),142.443.999.780,,,-49184661415.0,142443999780.0
41,41,41,Tăng chi phí phải trả (không bao gồm chi phí lãi vay),,9.989.955.599,5.115.475.657,,,9989955599.0,5115475657.0
42,42,42,Tăng chi phí trả trước,,(10.048.029.253),(22.429.859.266),,,-10048029253.0,-22429859266.0
43,43,43,Thuế TNDN đã nộp,,(172.767.207.588),(230.876.957.831),,,-172767207588.0,-230876957831.0
44,44,44,Lãi vay đã trả,,(321.966.912.179),(284.596.104.748),,,-321966912179.0,-284596104748.0
45,45,45,(Giảm)/tăng phải trả cho người bán,,(39.736.908),5.432.870.276,,,-39736908.0,5432870276.0
46,46,46,(Giảm)/tăng các khoản trích nộp phúc lợi nhân viên,,(746.200),2.990.600,,,-746200.0,2990600.0
47,47,47,Tăng thuế và các khoản phải nộp Nhà nước,,25.051.917.098,5.609.307.262,,,25051917098.0,5609307262.0
48,48,48,Tăng phải trả người lao động,,34.361.805.093,802.241.764,,,34361805093.0,802241764.0
50,50,50,"Giảm phải trả, phải nộp khác",,(150.964.526.950),(165.847.723.699),,,-150964526950.0,-165847723699.0
51,51,51,Tiền thu khác từ hoạt động kinh doanh,,596.143.433.217,574.523.575.137,,,596143433217.0,574523575137.0
,,,- Tiền lãi đã thu,,596.026.691.517,560.687.841.337,,,596026691517.0,560687841337.0
,,,- Tiền thu khác,,116.741.700,13.835.733.800,,,116741700.0,13835733800.0
52,52,52,Tiền chi khác từ hoạt động kinh doanh,,(28.447.874.665),(39.743.402.936),,,-28447874665.0,-39743402936.0
60,60,60,Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động kinh doanh,,(1.652.828.865.523),440.694.562.102,,,-1652828865523.0,440694562102.0
