row_label_raw,row_label_full,col_0,Giá trịphải thu khó đồicuối nămVND,Số dự phòngđầu nămVND,Số trích lậptrong nămVND,Số hoàn nhậptrong nămVND,Số dự phòngcuối nămVND,Giá trịphải thu khó đồiđầu nămVND,numeric__Giá trịphải thu khó đồicuối nămVND,numeric__Số dự phòngđầu nămVND,numeric__Số trích lậptrong nămVND,numeric__Số hoàn nhậptrong nămVND,numeric__Số dự phòngcuối nămVND,numeric__Giá trịphải thu khó đồiđầu nămVND
Dự phòng phải thu bán các tài sản tài chính khóđời,Dự phòng phải thu bán các tài sản tài chính khóđời,Dự phòng phải thu bán các tài sản tài chính khóđời,2.531.847.570,2.531.847.570,-,-,2.531.847.570,2.531.847.570,2531847570.0,2531847570.0,,,2531847570.0,2531847570.0
- Khách hàng Đặng Văn Sỹ,- Khách hàng Đặng Văn Sỹ,- Khách hàng Đặng Văn Sỹ,2.531.847.570,2.531.847.570,-,-,2.531.847.570,2.531.847.570,2531847570.0,2531847570.0,,,2531847570.0,2531847570.0
"Dự phòng phải thu cổ tức, tiền lãi đến hạn khó đồi","Dự phòng phải thu cổ tức, tiền lãi đến hạn khó đồi","Dự phòng phải thu cổ tức, tiền lãi đến hạn khó đồi",-,133.000.000,-,-,-,133.000.000,,133000000.0,,,,133000000.0
Phải thu các dịch vụ công ty chứng khoán cung cấp khó đồi,Phải thu các dịch vụ công ty chứng khoán cung cấp khó đồi,Phải thu các dịch vụ công ty chứng khoán cung cấp khó đồi,12.248.527.916,12.869.127.607,119.498.819,740.098.510,12.248.527.916,12.971.609.076,12248527916.0,12869127607.0,119498819.0,740098510.0,12248527916.0,12971609076.0
- CTCP Công nghệ mới Kim Tự Tháp Việt Nam,- CTCP Công nghệ mới Kim Tự Tháp Việt Nam,- CTCP Công nghệ mới Kim Tự Tháp Việt Nam,525.000.000,525.000.000,-,-,525.000.000,525.000.000,525000000.0,525000000.0,,,525000000.0,525000000.0
- CTCP Thái Hòa,- CTCP Thái Hòa,- CTCP Thái Hòa,80.000.000,80.000.000,-,-,80.000.000,80.000.000,80000000.0,80000000.0,,,80000000.0,80000000.0
- Công ty Liên doanh Dược phẩm Éloge France Việt Nam,- Công ty Liên doanh Dược phẩm Éloge France Việt Nam,- Công ty Liên doanh Dược phẩm Éloge France Việt Nam,80.000.000,80.000.000,-,-,80.000.000,80.000.000,80000000.0,80000000.0,,,80000000.0,80000000.0
- CTCP Hàng hải Sài Gòn,- CTCP Hàng hải Sài Gòn,- CTCP Hàng hải Sài Gòn,270.000.000,270.000.000,-,-,270.000.000,270.000.000,270000000.0,270000000.0,,,270000000.0,270000000.0
- CTCP VIGLACERA Đông Triều,- CTCP VIGLACERA Đông Triều,- CTCP VIGLACERA Đông Triều,-,101.000.000,-,101.000.000,-,101.000.000,,101000000.0,,101000000.0,,101000000.0
- Tổng CTCP Xây dựng điện Việt Nam (Vneco),- Tổng CTCP Xây dựng điện Việt Nam (Vneco),- Tổng CTCP Xây dựng điện Việt Nam (Vneco),150.000.000,150.000.000,-,-,150.000.000,150.000.000,150000000.0,150000000.0,,,150000000.0,150000000.0
- CTCP Thủy điện Quế Phong,- CTCP Thủy điện Quế Phong,- CTCP Thủy điện Quế Phong,-,42.898.229,28.598.819,71.497.048,-,142.994.095,,42898229.0,28598819.0,71497048.0,,142994095.0
- CTCP KSA POLYMER Hà Nội,- CTCP KSA POLYMER Hà Nội,- CTCP KSA POLYMER Hà Nội,-,-,30.000.000,30.000.000,-,-,,,30000000.0,30000000.0,,
- CTCP Đầu tư Đẻo Cả,- CTCP Đầu tư Đẻo Cả,- CTCP Đầu tư Đẻo Cả,-,-,60.900.000,60.900.000,-,-,,,60900000.0,60900000.0,,
- Phải thu giao dịch ký quỹ quá hạn - khách hàng cá nhân,- Phải thu giao dịch ký quỹ quá hạn - khách hàng cá nhân,- Phải thu giao dịch ký quỹ quá hạn - khách hàng cá nhân,11.143.527.916,11.620.229.378,-,476.701.462,11.143.527.916,11.622.614.981,11143527916.0,11620229378.0,,476701462.0,11143527916.0,11622614981.0
Phải thu khác khó đồi,Phải thu khác khó đồi,Phải thu khác khó đồi,521.517.477,388.517.477,-,-,521.517.477,388.517.477,521517477.0,388517477.0,,,521517477.0,388517477.0
- Tiền bán tài sản,- Tiền bán tài sản,- Tiền bán tài sản,309.521.422,309.521.422,-,-,309.521.422,309.521.422,309521422.0,309521422.0,,,309521422.0,309521422.0
- Phải thu CTCP Công nghệ mới Kim Tự Tháp Việt Nam,- Phải thu CTCP Công nghệ mới Kim Tự Tháp Việt Nam,- Phải thu CTCP Công nghệ mới Kim Tự Tháp Việt Nam,133.000.000,-,-,-,133.000.000,-,133000000.0,,,,133000000.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,78.996.055,78.996.055,-,-,78.996.055,78.996.055,78996055.0,78996055.0,,,78996055.0,78996055.0
Tổng công,Tổng công,Tổng công,15.301.892.963,15.922.492.654,119.498.819,740.098.510,15.301.892.963,16.024.974.123,15301892963.0,15922492654.0,119498819.0,740098510.0,15301892963.0,16024974123.0
