row_label_raw,row_label_full,col_0,Năm nayVND,Năm trước(trình bày lại)VND,numeric__Năm nayVND,numeric__Năm trước(trình bày lại)VND
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,1.278.243.262.618,1.061.010.297.660,1278243262618.0,1061010297660.0
Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,(246.357.375.823),(35.712.069.933),-246357375823.0,-35712069933.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,554.416.774.663,547.401.200.180,554416774663.0,547401200180.0
- Dự phòng giảm giá chứng khoán không niêm yết cuối năm,- Dự phòng giảm giá chứng khoán không niêm yết cuối năm,- Dự phòng giảm giá chứng khoán không niêm yết cuối năm,19.850.000.000,37.839.537.400,19850000000.0,37839537400.0
- Dự phòng giá trị đầu tư nhận hoàn vốn cuối năm,- Dự phòng giá trị đầu tư nhận hoàn vốn cuối năm,- Dự phòng giá trị đầu tư nhận hoàn vốn cuối năm,153.208.011.211,198.657.082.945,153208011211.0,198657082945.0
- Dự phòng chứng khoán trong năm,- Dự phòng chứng khoán trong năm,- Dự phòng chứng khoán trong năm,314.255.226,35.453.681.929,314255226.0,35453681929.0
- Chênh lệch giảm đánh giá lại TSTC FVTPL,- Chênh lệch giảm đánh giá lại TSTC FVTPL,- Chênh lệch giảm đánh giá lại TSTC FVTPL,327.790.083.420,234.493.830.472,327790083420.0,234493830472.0
- Dự phòng các khoản cho vay cuối năm,- Dự phòng các khoản cho vay cuối năm,- Dự phòng các khoản cho vay cuối năm,32.070.269.995,40.051.234.311,32070269995.0,40051234311.0
- Chênh lệch tạm thời chịu thuế chuyển sang năm sau,- Chênh lệch tạm thời chịu thuế chuyển sang năm sau,- Chênh lệch tạm thời chịu thuế chuyển sang năm sau,20.443.468.238,-,20443468238.0,
- Chi phí không được khấu trừ,- Chi phí không được khấu trừ,- Chi phí không được khấu trừ,740.686.573,905.833.123,740686573.0,905833123.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(800.774.150.486),(583.113.270.113),-800774150486.0,-583113270113.0
- Thu nhập từ hoạt động không thuộc diện nộp thuế TNDN - Cổ tức,- Thu nhập từ hoạt động không thuộc diện nộp thuế TNDN - Cổ tức,- Thu nhập từ hoạt động không thuộc diện nộp thuế TNDN - Cổ tức,(154.792.520.066),(134.146.065.780),-154792520066.0,-134146065780.0
- Hoàn nhập dự phòng giảm giá chứng khoán chưa niêm yết đầu năm,- Hoàn nhập dự phòng giảm giá chứng khoán chưa niêm yết đầu năm,- Hoàn nhập dự phòng giảm giá chứng khoán chưa niêm yết đầu năm,(37.839.537.400),(40.956.993.400),-37839537400.0,-40956993400.0
- Hoàn nhập dự phòng giá trị đầu tư nhận hoàn vốn đầu năm,- Hoàn nhập dự phòng giá trị đầu tư nhận hoàn vốn đầu năm,- Hoàn nhập dự phòng giá trị đầu tư nhận hoàn vốn đầu năm,(198.657.082.945),(49.994.489.716),-198657082945.0,-49994489716.0
- Hoàn nhập dự phòng các khoản cho vay đầu năm,- Hoàn nhập dự phòng các khoản cho vay đầu năm,- Hoàn nhập dự phòng các khoản cho vay đầu năm,(40.051.234.311),-,-40051234311.0,
