row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước (trình bày lại) VND,numeric__Năm nay VND,numeric__Năm trước (trình bày lại) VND
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,
Số dư đầu năm,Tài sản thuế thu nhập hoãn lại > Số dư đầu năm,Số dư đầu năm,82.440.906.772,45.321.632.464,82440906772.0,45321632464.0
Thuế TNDN hoãn lại phát sinh do giảm chi phí dự phòng chứng khoán chưa niêm yết không được khấu trừ thuế trong năm,Tài sản thuế thu nhập hoãn lại > Thuế TNDN hoãn lại phát sinh do giảm chi phí dự phòng chứng khoán chưa niêm yết không được khấu trừ thuế trong năm,Thuế TNDN hoãn lại phát sinh do giảm chi phí dự phòng chứng khoán chưa niêm yết không được khấu trừ thuế trong năm,(3.597.907.480),(623.491.200),-3597907480.0,-623491200.0
Thuế TNDN hoãn lại do trích lập/(hoàn nhập) dự phòng suy giảm giá trị tài sản đảm bảo của khoản đầu tư nhận hoàn vốn theo tiến độ,Tài sản thuế thu nhập hoãn lại > Thuế TNDN hoãn lại do trích lập/(hoàn nhập) dự phòng suy giảm giá trị tài sản đảm bảo của khoản đầu tư nhận hoàn vốn theo tiến độ,Thuế TNDN hoãn lại do trích lập/(hoàn nhập) dự phòng suy giảm giá trị tài sản đảm bảo của khoản đầu tư nhận hoàn vốn theo tiến độ,(9.089.814.347),29.732.518.646,-9089814347.0,29732518646.0
Thuế TNDN hoãn lại phát sinh do khoản doanh thu tạm thời chịu thuế năm 2015,Tài sản thuế thu nhập hoãn lại > Thuế TNDN hoãn lại phát sinh do khoản doanh thu tạm thời chịu thuế năm 2015,Thuế TNDN hoãn lại phát sinh do khoản doanh thu tạm thời chịu thuế năm 2015,(1.356.566.792),-,-1356566792.0,
Thuế hoãn lại phát sinh do chi phí/(hoàn nhập) dự phòng suy giảm giá trị khoản cho vay,Tài sản thuế thu nhập hoãn lại > Thuế hoãn lại phát sinh do chi phí/(hoàn nhập) dự phòng suy giảm giá trị khoản cho vay,Thuế hoãn lại phát sinh do chi phí/(hoàn nhập) dự phòng suy giảm giá trị khoản cho vay,(1.596.192.863),8.010.246.862,-1596192863.0,8010246862.0
Thuế hoãn lại phát sinh do chênh lệch tạm thời tính thuế,Tài sản thuế thu nhập hoãn lại > Thuế hoãn lại phát sinh do chênh lệch tạm thời tính thuế,Thuế hoãn lại phát sinh do chênh lệch tạm thời tính thuế,4.088.693.648,-,4088693648.0,
Số dư cuối năm,Tài sản thuế thu nhập hoãn lại > Số dư cuối năm,Số dư cuối năm,70.889.118.938,82.440.906.772,70889118938.0,82440906772.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,
Số dư đầu năm,Thuế TNDN hoãn lại phải trả > Số dư đầu năm,Số dư đầu năm,24.616.425.620,7.046.842.440,24616425620.0,7046842440.0
Thuế TNDN hoãn lại phát sinh do phần đánh giá tăng TSTC FVTPL và AFS,Thuế TNDN hoãn lại phải trả > Thuế TNDN hoãn lại phát sinh do phần đánh giá tăng TSTC FVTPL và AFS,Thuế TNDN hoãn lại phát sinh do phần đánh giá tăng TSTC FVTPL và AFS,151.344.616.102,17.569.583.180,151344616102.0,17569583180.0
Số dư cuối năm,Thuế TNDN hoãn lại phải trả > Số dư cuối năm,Số dư cuối năm,175.961.041.722,24.616.425.620,175961041722.0,24616425620.0
