row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Ngày 1 tháng 1 năm 2017,Nguyên giá > Ngày 1 tháng 1 năm 2017,Ngày 1 tháng 1 năm 2017,2.609.391.520,71.546.030.857,14.504.261.403,161.260.000,88.820.943.780,2609391520.0,71546030857.0,14504261403.0,161260000.0,88820943780.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,22.348.505.705,5.241.004.000,-,27.589.509.705,,22348505705.0,5241004000.0,,27589509705.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,22.348.505.705,5.241.004.000,-,27.589.509.705,,22348505705.0,5241004000.0,,27589509705.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(150.191.000),(2.193.848.703),-,(2.344.039.703),,-150191000.0,-2193848703.0,,-2344039703.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(150.191.000),(2.193.848.703),-,(2.344.039.703),,-150191000.0,-2193848703.0,,-2344039703.0
Ngày 31 tháng 12 năm 2017,Nguyên giá > Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,2.609.391.520,93.744.345.562,17.551.416.700,161.260.000,114.066.413.782,2609391520.0,93744345562.0,17551416700.0,161260000.0,114066413782.0
Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,,,,,
Ngày 1 tháng 1 năm 2017,Khẩu hao lũy kế > Ngày 1 tháng 1 năm 2017,Ngày 1 tháng 1 năm 2017,2.609.391.520,62.871.311.680,10.728.739.431,145.676.665,76.355.119.296,2609391520.0,62871311680.0,10728739431.0,145676665.0,76355119296.0
Tăng trong năm,Khẩu hao lũy kế > Tăng trong năm,Tăng trong năm,-,5.795.045.186,1.360.381.186,15.583.335,7.171.009.707,,5795045186.0,1360381186.0,15583335.0,7171009707.0
Khẩu hao trong năm,Khẩu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,5.795.045.186,1.360.381.186,15.583.335,7.171.009.707,,5795045186.0,1360381186.0,15583335.0,7171009707.0
Giảm trong năm,Khẩu hao lũy kế > Giảm trong năm,Giảm trong năm,-,(150.191.000),(2.193.848.703),-,(2.344.039.703),,-150191000.0,-2193848703.0,,-2344039703.0
Thanh lý,Khẩu hao lũy kế > Thanh lý,Thanh lý,-,(150.191.000),(2.193.848.703),-,(2.344.039.703),,-150191000.0,-2193848703.0,,-2344039703.0
Ngày 31 tháng 12 năm 2017,Khẩu hao lũy kế > Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,2.609.391.520,68.516.165.866,9.895.271.914,161.260.000,81.182.089.300,2609391520.0,68516165866.0,9895271914.0,161260000.0,81182089300.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Ngày 1 tháng 1 năm 2017,Giá trị còn lại > Ngày 1 tháng 1 năm 2017,Ngày 1 tháng 1 năm 2017,-,8.674.719.177,3.775.521.972,15.583.335,12.465.824.484,,8674719177.0,3775521972.0,15583335.0,12465824484.0
Ngày 31 tháng 12 năm 2017,Giá trị còn lại > Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,-,25.228.179.696,7.656.144.786,-,32.884.324.482,,25228179696.0,7656144786.0,,32884324482.0
Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,,,,,
,,,,Số cuối nămVND,Số đầu nămVND,,,,,,,
Nguyên giá TSCĐ đã khấu hao hết nhưng vẫn còn sử dụng,Các thông tin khác về tài sản cố định hữu hình: > Nguyên giá TSCĐ đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá TSCĐ đã khấu hao hết nhưng vẫn còn sử dụng,,65.738.405.296,63.951.564.323,,,,65738405296.0,63951564323.0,,
