row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Số cuối năm VND,Số đầu năm (trình bày lại) VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm (trình bày lại) VND
200,200,200,B. TÀI SẢN DÀI HẠN,,1.417.592.466.761,1.286.854.941.984,,,1417592466761.0,1286854941984.0
210,210,210,I. Tài sản tài chính dài hạn,,1.051.305.755.535,961.888.341.964,,,1051305755535.0,961888341964.0
212,212,212,1. Các khoản đầu tư,11,1.051.305.755.535,961.888.341.964,,11.0,1051305755535.0,961888341964.0
212.1,212.1,212.1,1.1. Các khoản đầu tư nằm giữ đến ngày đáo hạn,,130.424.472.600,41.007.379.429,,,130424472600.0,41007379429.0
212.2,212.2,212.2,1.2. Đầu tư vào công ty con,,342.000.000.000,342.000.000.000,,,342000000000.0,342000000000.0
212.3,212.3,212.3,"1.3. Đầu tư vào công ty liên doanh, liên kết",,578.881.282.935,578.880.962.535,,,578881282935.0,578880962535.0
220,220,220,II. Tài sản cố định,,160.717.459.414,130.942.054.683,,,160717459414.0,130942054683.0
221,221,221,1. Tài sản cố định hữu hình,12,32.884.324.482,12.465.824.484,,12.0,32884324482.0,12465824484.0
222,222,222,1.1. Nguyễn giá,,114.066.413.782,88.820.943.780,,,114066413782.0,88820943780.0
223a,223a,223a,1.2. Giá trị khấu hao lũy kế,,(81.182.089.300),(76.355.119.296),,,-81182089300.0,-76355119296.0
227,227,227,2. Tài sản cố định vô hình,13,127.833.134.932,118.476.230.199,,13.0,127833134932.0,118476230199.0
228,228,228,2.1. Nguyễn giá,,185.797.815.306,172.131.638.666,,,185797815306.0,172131638666.0
229a,229a,229a,2.2. Giá trị hao mòn lũy kế,,(57.964.680.374),(53.655.408.467),,,-57964680374.0,-53655408467.0
240,240,240,IV. Chi phí xây dựng cơ bản dở dang,14,47.154.474.755,46.777.509.012,,14.0,47154474755.0,46777509012.0
250,250,250,V. Tài sản dài hạn khác,,158.414.777.057,147.247.036.325,,,158414777057.0,147247036325.0
251,251,251,"1. Cảm cố, thế chấp, ký quỹ, ký cược dài hạn",,19.401.533.466,19.090.729.716,,,19401533466.0,19090729716.0
252,252,252,2. Chi phí trả trước dài hạn,15,33.124.124.653,25.715.399.837,,15.0,33124124653.0,25715399837.0
253,253,253,3. Tài sản thuế thu nhập hoãn lại,16,70.889.118.938,82.440.906.772,,16.0,70889118938.0,82440906772.0
254,254,254,4. Tiền nộp Quỹ Hỗ trợ thanh toán,17,20.000.000.000,20.000.000.000,,17.0,20000000000.0,20000000000.0
255,255,255,5. Tài sản dài hạn khác,,15.000.000.000,-,,,15000000000.0,
270,270,270,TỔNG CỘNG TÀI SẢN,,18.245.398.322.864,13.626.267.222.861,,,18245398322864.0,13626267222861.0
