row_label_raw,row_label_full,STT,Chỉ tiêu,Số dư đầu năm VND,Số phải nộp trong năm VND,Số đã nộp trong năm VND,Số dư cuối năm VND,numeric__Chỉ tiêu,numeric__Số dư đầu năm VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp trong năm VND,numeric__Số dư cuối năm VND
I,I,I,Thuế,64.767.844.267,462.138.631.126,403.247.758.170,123.658.717.223,,64767844267.0,462138631126.0,403247758170.0,123658717223.0
1,1,1,Thuế giá trị gia tăng hàng bán nội địa,5.482.965.448,11.972.006.385,8.768.538.940,8.686.432.893,,5482965448.0,11972006385.0,8768538940.0,8686432893.0
2,2,2,Thuế thu nhập doanh nghiệp(Thuyết minh số 38.1),43.518.450.132,206.606.163.446,172.767.207.588,77.357.405.990,,43518450132.0,206606163446.0,172767207588.0,77357405990.0
3,3,3,Các loại thuế khác,15.766.428.687,243.560.461.295,221.712.011.642,37.614.878.340,,15766428687.0,243560461295.0,221712011642.0,37614878340.0
3,3,3,Thuế thu nhập cá nhân,4.006.513.181,48.461.974.610,41.482.882.595,10.985.605.196,,4006513181.0,48461974610.0,41482882595.0,10985605196.0
3,3,3,Thuế thu nhập cá nhân nộp hộ nhà đầu tư,9.826.322.357,169.498.375.243,156.517.705.608,22.806.991.992,,9826322357.0,169498375243.0,156517705608.0,22806991992.0
3,3,3,Thuế môn bài,-,12.000.000,12.000.000,-,,,12000000.0,12000000.0,
3,3,3,Thuế khác,1.933.593.149,25.588.111.442,23.699.423.439,3.822.281.152,,1933593149.0,25588111442.0,23699423439.0,3822281152.0
II,II,II,Các khoản phải nộp khác,-,105.892.182,105.892.182,-,,,105892182.0,105892182.0,
II,II,II,Tổng cộng,64.767.844.267,462.244.523.308,403.353.650.352,123.658.717.223,,64767844267.0,462244523308.0,403353650352.0,123658717223.0
