row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/ (chi phí) VND,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/ (chi phí) VND
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Số đầu năm VND,Tăng trong năm VND,Giảm trong năm VND,Số cuối năm VND,Doanh thu/ (chi phí) VND,,,,,,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Góp vốn đầu tư,312.000.000.000,-,-,312.000.000.000,-,,312000000000.0,,,312000000000.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Góp vốn đầu tư,30.000.000.000,-,-,30.000.000.000,-,,30000000000.0,,,30000000000.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Lợi nhuận được chia,-,62.583.587.740,(62.583.587.740),-,62.583.587.740,,,62583587740.0,-62583587740.0,,62583587740.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),"Phí giao dịch chứng khoán, phí lưu ký, phí hoa hồng phân phối chứng chỉ quỹ và ứng trước tiền bán",-,7.240.564.954,(7.240.564.954),-,7.163.049.696,,,7240564954.0,-7240564954.0,,7163049696.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Số dư danh mục ủy thác đầu tư Các khoản phải trả quỹ phúc lợi và khác,1.394.365.802.185,794.220.135.222,(1.299.835.989.028),888.749.948.379,-,,1394365802185.0,794220135222.0,-1299835989028.0,888749948379.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Phí quản lý danh mục,(7.446.854.608),(12.158.000.000),11.745.000.000,(413.000.000),-,,-7446854608.0,-12158000000.0,11745000000.0,-413000000.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Chi phí tư vấn đầu tư chứng khoán,(3.707.900.421),(38.610.580.780),42.931.679.504,(3.125.755.884),(38.610.580.780),,-3707900421.0,-38610580780.0,42931679504.0,-3125755884.0,-38610580780.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Doanh thu tư vấn đầu tư chứng khoán,-,(51.258.145.477),50.302.432.583,(4.663.613.315),(51.258.145.477),,,-51258145477.0,50302432583.0,-4663613315.0,-51258145477.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),,-,2.135.909.867,-,2.135.909.867,2.135.909.867,,,2135909867.0,,2135909867.0,2135909867.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Phí giao dịch chứng khoán và ứng trước tiền bán chứng khoán,-,165.078.300,(165.078.300),-,165.078.300,,,165078300.0,-165078300.0,,165078300.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Giao dịch bán chứng khoán,-,640.809.000.000,(640.809.000.000),-,(1.123.812.591),,,640809000000.0,-640809000000.0,,-1123812591.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Giao dịch mua chứng khoán,-,(369.955.000.000),369.955.000.000,-,-,,,-369955000000.0,369955000000.0,,
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Cổ tức SSI,-,(48.194.727.000),48.194.727.000,-,-,,,-48194727000.0,48194727000.0,,
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,"Doanh thu phí tư vấn, phí dịch vụ",719.495.000,1.857.358.875,(2.576.853.875),-,1.688.508.068,,719495000.0,1857358875.0,-2576853875.0,,1688508068.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Chi phí dịch vụ tư vấn,-,(474.375.000),474.375.000,-,(474.375.000),,,-474375000.0,474375000.0,,-474375000.0
Daiwa Securities Group INC.,Công ty liên quan > Daiwa Securities Group INC.,Daiwa Securities Group INC.,Phí dịch vụ,-,610.001.372,(610.001.372),-,560.886.922,,,610001372.0,-610001372.0,,560886922.0
Daiwa Securities Group INC.,Công ty liên quan > Daiwa Securities Group INC.,Daiwa Securities Group INC.,Cổ tức SSI,-,(85.606.601.000),85.606.601.000,-,-,,,-85606601000.0,85606601000.0,,
