row_label_raw,row_label_full,col_0,Phần mềmVND,Quyền sử dụng đấtVND,Tài sảnvô hình khácVND,Tổng cộngVND,numeric__Phần mềmVND,numeric__Quyền sử dụng đấtVND,numeric__Tài sảnvô hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 1 tháng 1 năm2017,Nguyên giá > Ngày 1 tháng 1 năm2017,Ngày 1 tháng 1 năm2017,55.810.864.824,109.671.558.000,6.649.215.842,172.131.638.666,55810864824.0,109671558000.0,6649215842.0,172131638666.0
Tăng trong nămMua mới,Nguyên giá > Tăng trong nămMua mới,Tăng trong nămMua mới,13.591.176.640,-,75.000.000,13.666.176.640,13591176640.0,,75000000.0,13666176640.0
Tăng trong nămMua mới,Nguyên giá > Tăng trong nămMua mới,Tăng trong nămMua mới,13.591.176.640,-,75.000.000,13.666.176.640,13591176640.0,,75000000.0,13666176640.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Ngày 31 tháng 12năm 2017,Giảm trong năm > Ngày 31 tháng 12năm 2017,Ngày 31 tháng 12năm 2017,69.402.041.464,109.671.558.000,6.724.215.842,185.797.815.306,69402041464.0,109671558000.0,6724215842.0,185797815306.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Ngày 1 tháng 1 năm2017,Hao mòn lũy kế > Ngày 1 tháng 1 năm2017,Ngày 1 tháng 1 năm2017,49.483.241.897,-,4.172.166.570,53.655.408.467,49483241897.0,,4172166570.0,53655408467.0
Tăng trong nămHao mòn trongnăm,Hao mòn lũy kế > Tăng trong nămHao mòn trongnăm,Tăng trong nămHao mòn trongnăm,3.317.034.684,-,992.237.223,4.309.271.907,3317034684.0,,992237223.0,4309271907.0
Tăng trong nămHao mòn trongnăm,Hao mòn lũy kế > Tăng trong nămHao mòn trongnăm,Tăng trong nămHao mòn trongnăm,3.317.034.684,-,992.237.223,4.309.271.907,3317034684.0,,992237223.0,4309271907.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Ngày 31 tháng 12năm 2017,Giảm trong năm > Ngày 31 tháng 12năm 2017,Ngày 31 tháng 12năm 2017,52.800.276.581,-,5.164.403.793,57.964.680.374,52800276581.0,,5164403793.0,57964680374.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm2017,Giá trị còn lại > Ngày 1 tháng 1 năm2017,Ngày 1 tháng 1 năm2017,6.327.622.927,109.671.558.000,2.477.049.272,118.476.230.199,6327622927.0,109671558000.0,2477049272.0,118476230199.0
Ngày 31 tháng 12năm 2017,Giá trị còn lại > Ngày 31 tháng 12năm 2017,Ngày 31 tháng 12năm 2017,16.601.764.883,109.671.558.000,1.559.812.049,127.833.134.932,16601764883.0,109671558000.0,1559812049.0,127833134932.0
