row_label_raw,row_label_full,Thuế giá trị gia tăng,Số cuối năm VND > 8.686.432.893,Số đầu năm VND > 5.482.965.448,numeric__Số cuối năm VND > 8.686.432.893,numeric__Số đầu năm VND > 5.482.965.448
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,77.357.405.990,43.518.450.132,77357405990.0,43518450132.0
Thuế thu nhập cả nhân,Thuế thu nhập cả nhân,Thuế thu nhập cả nhân,33.792.597.188,13.832.835.538,33792597188.0,13832835538.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,3.822.281.152,1.933.593.149,3822281152.0,1933593149.0
Tổng công,Tổng công,Tổng công,123.658.717.223,64.767.844.267,123658717223.0,64767844267.0
