row_label_raw,row_label_full,col_0,2021VND’000,2020VND’000,numeric__2021VND’000,numeric__2020VND’000
Accounting profit before tax,Accounting profit before tax,Accounting profit before tax,"839,074","1,971,889",839.074,
Tax at the Company tax rate,Tax at the Company tax rate,Tax at the Company tax rate,"167,815","394,378",167.815,394.378
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"20,904","11,052",20.904,11.052
Under/(over) provision in prior year,Under/(over) provision in prior year,Under/(over) provision in prior year,"140,197","(6,358,690)",140.197,
,,,"328,916","(5,953,260)",328.916,
