row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2021 Nghìn VND,1/1/2021 Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021 Nghìn VND,numeric__1/1/2021 Nghìn VND
NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,,,,
NỘ PHẢI TRẢ (300 = 310 + 330),NGUỒN VỐN > NỘ PHẢI TRẢ (300 = 310 + 330),NỘ PHẢI TRẢ (300 = 310 + 330),300,,3.108.407.105,3.101.408.455,300.0,,3108407105.0,3101408455.0
Nợ ngắn hạn,NGUỒN VỐN > Nợ ngắn hạn,Nợ ngắn hạn,310,,108.407.105,1.101.408.455,310.0,,108407105.0,1101408455.0
Phải trả người bán ngắn hạn,NGUỒN VỐN > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,,3.217.708,32,311.0,,3217708.0,32.0
Thuế và các khoản phải nộp Nhà nước,NGUỒN VỐN > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,,197.528,406.630,313.0,,197528.0,406630.0
Chi phí phải trả ngắn hạn,NGUỒN VỐN > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,8,48.356.333,88.151.323,315.0,8.0,48356333.0,88151323.0
Phải trả ngắn hạn khác,NGUỒN VỐN > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,9,35.435.536,12.850.470,319.0,9.0,35435536.0,12850470.0
Vay và trái phiếu phát hành ngắn hạn,NGUỒN VỐN > Vay và trái phiếu phát hành ngắn hạn,Vay và trái phiếu phát hành ngắn hạn,320,10(a),21.200.000,1.000.000.000,320.0,,21200000.0,1000000000.0
Nợ dài hạn,NGUỒN VỐN > Nợ dài hạn,Nợ dài hạn,330,,3.000.000.000,2.000.000.000,330.0,,3000000000.0,2000000000.0
Trái phiếu phát hành dài hạn,NGUỒN VỐN > Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,338,10(b),3.000.000.000,2.000.000.000,338.0,,3000000000.0,2000000000.0
VỐN CHỦ SỞ HỮU (400 = 410),NGUỒN VỐN > VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,12.157.634.953,12.157.124.795,400.0,,12157634953.0,12157124795.0
Vốn chủ sở hữu,NGUỒN VỐN > Vốn chủ sở hữu,Vốn chủ sở hữu,410,11,12.157.634.953,12.157.124.795,410.0,11.0,12157634953.0,12157124795.0
Vốn cổ phần,NGUỒN VỐN > Vốn cổ phần,Vốn cổ phần,411,12,10.991.554.200,10.991.554.200,411.0,12.0,10991554200.0,10991554200.0
- Cổ phiếu phổ thông có quyền biểu quyết,NGUỒN VỐN > - Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,10.991.554.200,10.991.554.200,,,10991554200.0,10991554200.0
Thặng dư vốn cổ phần,NGUỒN VỐN > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,12,1.098.259.892,1.098.259.892,412.0,12.0,1098259892.0,1098259892.0
Lợi nhuận sau thuế chưa phân phối,NGUỒN VỐN > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,67.820.861,67.310.703,421.0,,67820861.0,67310703.0
- LNST chưa phân phối đến cuối năm trước,NGUỒN VỐN > - LNST chưa phân phối đến cuối năm trước,- LNST chưa phân phối đến cuối năm trước,421a,,67.310.703,59.385.554,,,67310703.0,59385554.0
- LNST năm nay,NGUỒN VỐN > - LNST năm nay,- LNST năm nay,421b,,510.158,7.925.149,,,510158.0,7925149.0
TỔNG NGUỒN VỐN(440 = 300 + 400),NGUỒN VỐN > TỔNG NGUỒN VỐN(440 = 300 + 400),TỔNG NGUỒN VỐN(440 = 300 + 400),440,,15.266.042.058,15.258.533.250,440.0,,15266042058.0,15258533250.0
