row_label_raw,row_label_full,col_0,2021VND’000,2020VND’000,numeric__2021VND’000,numeric__2020VND’000
Interest income,Interest income,Interest income,"1,011,870","137,167",,137.167
Distribution of profit from BCC,Distribution of profit from BCC,Distribution of profit from BCC,"279,984,083","306,312,189",,
,,,"280,995,953","306,449,356",,
