row_label_raw,row_label_full,col_0,31/12/2021VND’000,1/1/2021VND’000,numeric__31/12/2021VND’000,numeric__1/1/2021VND’000
Short-term receivables,Short-term receivables,Short-term receivables,Short-term receivables,Short-term receivables,,
Distribution of profit receivable from BCC (a),Distribution of profit receivable from BCC (a),Distribution of profit receivable from BCC (a),"54,956,939","49,962,111",,
Receivables under BCC with NPM (b),Receivables under BCC with NPM (b),Receivables under BCC with NPM (b),-,"1,000,000,000",,
Other receivable from subsidiaries,Other receivable from subsidiaries,Other receivable from subsidiaries,"23,695,453",-,,
Others,Other receivable from subsidiaries > Others,Others,"55,000","355,000",55.0,355.0
,,,"78,707,392","1,050,317,111",,
Long-term receivables,Long-term receivables,Long-term receivables,Long-term receivables,Long-term receivables,,
Receivables under BCC with NPM (b),Receivables under BCC with NPM (b),Receivables under BCC with NPM (b),"2,000,000,000","1,000,000,000",,
Receivables under BCC with MTC (c),Receivables under BCC with MTC (c),Receivables under BCC with MTC (c),"1,000,000,000","1,000,000,000",,
,,,"3,000,000,000","2,000,000,000",,
