row_label_raw,row_label_full,col_0,01/01/2021Carrying amount &amount withinrepayment capacityVND’000,AdditionsVND’000,PaymentsVND’000,31/12/2021Carrying amount &amount withinrepayment capacityVND’000,numeric__01/01/2021Carrying amount &amount withinrepayment capacityVND’000,numeric__AdditionsVND’000,numeric__PaymentsVND’000,numeric__31/12/2021Carrying amount &amount withinrepayment capacityVND’000
Short-term borrowings,Short-term borrowings,Short-term borrowings,-,"39,200,000","(18,000,000)","21,200,000",,,,
Current portion of long-term bonds (Note 10(b)),Current portion of long-term bonds (Note 10(b)),Current portion of long-term bonds (Note 10(b)),"1,000,000,000",-,"(1,000,000,000)",-,,,,
,,,"1,000,000,000","39,200,000","(1,018,000,000)","21,200,000",,,,
