row_label_raw,row_label_full,Ông Danny Le,Chủ tịch,numeric__Chủ tịch
Ông Nguyễn Thiều Nam,Ông Nguyễn Thiều Nam,Ông Nguyễn Thiều Nam,Phó Chủ tịch thứ nhất,
Ông Craig Richard Bradshaw,Ông Craig Richard Bradshaw,Ông Craig Richard Bradshaw,Thành viên,
Ông Akira Osada,Ông Akira Osada,Ông Akira Osada,Thành viên (từ ngày 12/4/2021),
Bà Nguyễn Thu Hiền,Bà Nguyễn Thu Hiền,Bà Nguyễn Thu Hiền,Thành viên độc lập(từ ngày 12/4/2021),
Ông Nguyễn Văn Thắng,Ông Nguyễn Văn Thắng,Ông Nguyễn Văn Thắng,Thành viên (đến ngày 12/4/2021),
