row_label_raw,row_label_full,Các bên liên quan,Bản chất của giao dịch,2021Nghìn VND,2020Nghìn VND,numeric__Bản chất của giao dịch,numeric__2021Nghìn VND,numeric__2020Nghìn VND
Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,,,
TCB và các công ty con,Bên liên quan của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Lãi trái phiếu,24.828.109,11.635.249,,24828109.0,11635249.0
TCB và các công ty con,Bên liên quan của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Tiền thu được từ phát hành trái phiếu (i),1.000.000.000,-,,1000000000.0,
TCB và các công ty con,Bên liên quan của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Mua lại trái phiếu,109.198.100,-,,109198100.0,
TCB và các công ty con,Bên liên quan của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Mua chứng khoán kinh doanh,18.118.800,-,,18118800.0,
TCB và các công ty con,Bên liên quan của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Bán chứng khoán kinh doanh,18.208.080,-,,18208080.0,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,
Công ty TNHH MTV Tài,Các công ty con > Công ty TNHH MTV Tài,Công ty TNHH MTV Tài,Góp vốn,-,2.701.705.929,,,2701705929.0
Nguyên Masan Thái Nguyên,Nguyên Masan Thái Nguyên,Nguyên Masan Thái Nguyên,,,,,,
Công ty TNHH Khai thác,Nguyên Masan Thái Nguyên > Công ty TNHH Khai thác,Công ty TNHH Khai thác,Phân chia lợi nhuận từ HĐHTKD,188.143.785,204.566.817,,188143785.0,204566817.0
Chế biển Khoáng sản Núi Pháo,Nguyên Masan Thái Nguyên > Chế biển Khoáng sản Núi Pháo,Chế biển Khoáng sản Núi Pháo,Trả hộ NPM,22.799.957,-,,22799957.0,
Chế biển Khoáng sản Núi Pháo,Nguyên Masan Thái Nguyên > Chế biển Khoáng sản Núi Pháo,Chế biển Khoáng sản Núi Pháo,Trả hộ MHT,22.011.726,-,,22011726.0,
Công ty TNHH Vonfram Masan,Nguyên Masan Thái Nguyên > Công ty TNHH Vonfram Masan,Công ty TNHH Vonfram Masan,Phân chia lợi nhuận từ HĐHTKD,91.840.299,101.745.371,,91840299.0,101745371.0
Công ty TNHH Vonfram Masan,Nguyên Masan Thái Nguyên > Công ty TNHH Vonfram Masan,Công ty TNHH Vonfram Masan,Nhận tiền vay,39.200.000,-,,39200000.0,
Công ty TNHH Vonfram Masan,Nguyên Masan Thái Nguyên > Công ty TNHH Vonfram Masan,Công ty TNHH Vonfram Masan,Trả tiền vay,18.000.000,-,,18000000.0,
Công ty TNHH Vonfram Masan,Nguyên Masan Thái Nguyên > Công ty TNHH Vonfram Masan,Công ty TNHH Vonfram Masan,Trả lãi vay,41.030,-,,41030.0,
Công ty TNHH Vonfram Masan,Nguyên Masan Thái Nguyên > Công ty TNHH Vonfram Masan,Công ty TNHH Vonfram Masan,Chỉ phí lãi vay,199.014,-,,199014.0,
Công ty TNHH Vonfram Masan,Nguyên Masan Thái Nguyên > Công ty TNHH Vonfram Masan,Công ty TNHH Vonfram Masan,Trả hộ MTC,895.496,-,,895496.0,
Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,,,
,,,"Lương, thường và các phúc lợi khác (ii)",-,-,,,
