row_label_raw,row_label_full,col_0,Share capital VND'000,Share premium VND'000,Retained profits after tax VND'000,Total VND'000,numeric__Share capital VND'000,numeric__Share premium VND'000,numeric__Retained profits after tax VND'000,numeric__Total VND'000
Balance at 1/1/2020,Balance at 1/1/2020,Balance at 1/1/2020,"9,892,398,780","145,709,384","59,385,554","10,097,493,718",,,,
New shares issuance,New shares issuance,New shares issuance,"1,099,155,420","995,175,317",-,"2,094,330,737",,,,
Transaction cost for new share issuance,Transaction cost for new share issuance,Transaction cost for new share issuance,-,"(42,624,809)",-,"(42,624,809)",,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,"7,925,149","7,925,149",,,,
Balance at 1/1/2021,Balance at 1/1/2021,Balance at 1/1/2021,"10,991,554,200","1,098,259,892","67,310,703","12,157,124,795",,,,
Net profit for the year,Balance at 1/1/2021 > Net profit for the year,Net profit for the year,-,-,"510,158","510,158",,,510.158,510.158
Balance at 31/12/2021,Balance at 31/12/2021,Balance at 31/12/2021,"10,991,554,200","1,098,259,892","67,820,861","12,157,634,953",,,,
