row_label_raw,row_label_full,col_0,1/1/2021Giá trị ghi sổ và sốcó khả năng trả nợNghìn VND,TăngNghìn VND,GiảmNghìn VND,31/12/2021Giá trị ghi sổ và sốcó khả năng trả nợNghìn VND,numeric__1/1/2021Giá trị ghi sổ và sốcó khả năng trả nợNghìn VND,numeric__TăngNghìn VND,numeric__GiảmNghìn VND,numeric__31/12/2021Giá trị ghi sổ và sốcó khả năng trả nợNghìn VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,-,39.200.000,(18.000.000),21.200.000,,39200000.0,-18000000.0,21200000.0
Trái phiếu dài hạn đếnhạn trả (Thuyết minh10(b)),Trái phiếu dài hạn đếnhạn trả (Thuyết minh10(b)),Trái phiếu dài hạn đếnhạn trả (Thuyết minh10(b)),1.000.000.000,-,(1.000.000.000),-,1000000000.0,,-1000000000.0,
,,,1.000.000.000,39.200.000,(1.018.000.000),21.200.000,1000000000.0,39200000.0,-1018000000.0,21200000.0
