row_label_raw,row_label_full,Related Parties,Nature of transactions,2021 VND'000,2020 VND'000,numeric__Nature of transactions,numeric__2021 VND'000,numeric__2020 VND'000
Ultimate parent company's associate,Ultimate parent company's associate,Ultimate parent company's associate,Ultimate parent company's associate,Ultimate parent company's associate,Ultimate parent company's associate,,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Bond interest,"24,828,109","11,635,249",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Bond proceeds received (i),"1,000,000,000",-,,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Bond repurchased,"109,198,100",-,,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Purchase of trading securities,"18,118,800",-,,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Sales of trading securities,"18,208,080",-,,,
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,,,
Masan Thai Nguyen Resources Company Limited,Masan Thai Nguyen Resources Company Limited,Masan Thai Nguyen Resources Company Limited,Capital contribution,-,"2,701,705,929",,,
"Nui Phao Mining Co., Ltd","Nui Phao Mining Co., Ltd","Nui Phao Mining Co., Ltd",Distribution of profit from BCC,"188,143,785","204,566,817",,,
"Nui Phao Mining Co., Ltd","Nui Phao Mining Co., Ltd","Nui Phao Mining Co., Ltd",Payment on behalf of NPM,"22,799,957",-,,,
"Nui Phao Mining Co., Ltd","Nui Phao Mining Co., Ltd","Nui Phao Mining Co., Ltd",Payment on behalf of MHT,"22,011,726",-,,,
Masan Tungsten LLC,Masan Tungsten LLC,Masan Tungsten LLC,Distribution of profit from BCC,"91,840,299","101,745,371",,,
Masan Tungsten LLC,Masan Tungsten LLC,Masan Tungsten LLC,Loan received,"39,200,000",-,,,
Masan Tungsten LLC,Masan Tungsten LLC,Masan Tungsten LLC,Loan paid,"18,000,000",-,,,
Masan Tungsten LLC,Masan Tungsten LLC > Masan Tungsten LLC,Masan Tungsten LLC,Loan interest paid,"41,030",-,,41.03,
Masan Tungsten LLC,Masan Tungsten LLC > Masan Tungsten LLC,Masan Tungsten LLC,Loan interest expense,"199,014",-,,199.014,
Masan Tungsten LLC,Masan Tungsten LLC > Masan Tungsten LLC,Masan Tungsten LLC,Payment on behalf of MTC,"895,496",-,,895.496,
Key management personnel,Key management personnel,Key management personnel,Key management personnel,Key management personnel,Key management personnel,,,
,,,"Salary, bonus and other benefits (ii)",-,-,,,
