row_label_raw,row_label_full,8.,Chỉ phí quản lý doanh nghiệp,Năm nay VND,Năm trước VND,numeric__Chỉ phí quản lý doanh nghiệp,numeric__Năm nay VND,numeric__Năm trước VND
,,,Chi phí nhiên liệu,1.394.979.237,860.271.629,,1394979237.0,860271629.0
,,,"Chi phí công cụ , dụng cụ",898.395.424,751.030.157,,898395424.0,751030157.0
,,,Chi phí khấu hao,3.499.951.600,2.963.153.789,,3499951600.0,2963153789.0
,,,Chi phí thuê đất,269.695.100,,,269695100.0,
,,,Dự phòng phải thu khó đòi,1.008.880.933,,,1008880933.0,
,,,Chi phí mua ngoài,1.069.901.467,1.600.552.493,,1069901467.0,1600552493.0
,,,Chi phí khác,36.791.490.765,30.526.905.805,,36791490765.0,30526905805.0
,,,Cộng,93.751.545.087,82.419.435.982,,93751545087.0,82419435982.0
