row_label_raw,row_label_full,Đầu tư dài hạn nằm giữ đến ngày đáo hạn,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Trái phiếu,Trái phiếu,Trái phiếu,16.000.000.000,-,16.000.000.000,-,-,-,16000000000.0,,16000000000.0,,,
Công ty Cổ phần DIC Số 4 (*),Công ty Cổ phần DIC Số 4 (*),Công ty Cổ phần DIC Số 4 (*),16.000.000.000,-,16.000.000.000,-,-,-,16000000000.0,,16000000000.0,,,
Cộng,Cộng,Cộng,16.000.000.000,-,16.000.000.000,-,-,-,16000000000.0,,16000000000.0,,,
