row_label_raw,row_label_full,a) Phải trả ngắn hạn khác,a) Phải trả ngắn hạn khác_1,Cuối năm VND,Đầu năm VND,numeric__a) Phải trả ngắn hạn khác_1,numeric__Cuối năm VND,numeric__Đầu năm VND
Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,29.431.596,32.898.830,,29431596.0,32898830.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,943.639.586,681.220.061,,943639586.0,681220061.0
"Bảo hiểm xã hội, y tế, thất nghiệp","Bảo hiểm xã hội, y tế, thất nghiệp","Bảo hiểm xã hội, y tế, thất nghiệp","Bảo hiểm xã hội, y tế, thất nghiệp",1.136.459.794,1.334.129.575,,1136459794.0,1334129575.0
Phải trả về cổ phần hoá,Phải trả về cổ phần hoá,Phải trả về cổ phần hoá,Phải trả về cổ phần hoá,-,34.082.760.007,,,34082760007.0
Nhận ký quỹ ký cược ngắn hạn,Nhận ký quỹ ký cược ngắn hạn,Nhận ký quỹ ký cược ngắn hạn,Nhận ký quỹ ký cược ngắn hạn,3.986.338.160,1.347.265.609,,3986338160.0,1347265609.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,1.262.019.737,1.170.929.355,,1262019737.0,1170929355.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",99.562.684.333,124.184.100.741,,99562684333.0,124184100741.0
"Hội đồng đèn bù, giải phóng mặt bằng các dự án","Hội đồng đèn bù, giải phóng mặt bằng các dự án","Hội đồng đèn bù, giải phóng mặt bằng các dự án","Hội đồng đèn bù, giải phóng mặt bằng các dự án",53.034.154.726,56.499.293.289,,53034154726.0,56499293289.0
Lệ phí trước bạ và phí bảo trì chung cư phải trả,Lệ phí trước bạ và phí bảo trì chung cư phải trả,Lệ phí trước bạ và phí bảo trì chung cư phải trả,Lệ phí trước bạ và phí bảo trì chung cư phải trả,34.313.329.501,27.332.993.660,,34313329501.0,27332993660.0
Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,-,7.111.697.483,,,7111697483.0
Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,-,2.459.351.231,,,2459351231.0
Công ty CP Dịch vụ Đầu tư Kim Ngân Phát,Công ty CP Dịch vụ Đầu tư Kim Ngân Phát,Công ty CP Dịch vụ Đầu tư Kim Ngân Phát,Công ty CP Dịch vụ Đầu tư Kim Ngân Phát,-,5.588.450.000,,,5588450000.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,12.215.200.106,25.192.315.078,,12215200106.0,25192315078.0
Cộng,Cộng,Cộng,Cộng,106.920.573.206,162.833.304.178,,106920573206.0,162833304178.0
b) Phải trả dài hạn khác,b) Phải trả dài hạn khác,b) Phải trả dài hạn khác,b) Phải trả dài hạn khác,Số cuối năm VND,Đầu năm VND,,,
Nhận ký quỹ ký cược,b) Phải trả dài hạn khác > Nhận ký quỹ ký cược,Nhận ký quỹ ký cược,Nhận ký quỹ ký cược,1.092.524.500,1.411.929.462,,1092524500.0,1411929462.0
Công ty CP ĐTPTXD Bê tông,b) Phải trả dài hạn khác > Công ty CP ĐTPTXD Bê tông,Công ty CP ĐTPTXD Bê tông,Công ty CP ĐTPTXD Bê tông,-,116.274.962,,,116274962.0
Nhận ký quỹ ký cược dài hạn khác,b) Phải trả dài hạn khác > Nhận ký quỹ ký cược dài hạn khác,Nhận ký quỹ ký cược dài hạn khác,Nhận ký quỹ ký cược dài hạn khác,1.092.524.500,1.295.654.500,,1092524500.0,1295654500.0
Các khoản phải trả dài hạn khác,Các khoản phải trả dài hạn khác,Các khoản phải trả dài hạn khác,Các khoản phải trả dài hạn khác,-,-,,,
Cộng,Các khoản phải trả dài hạn khác > Cộng,Cộng,Cộng,1.092.524.500,1.411.929.462,,1092524500.0,1411929462.0
