row_label_raw,row_label_full,a),Phải thu về cho vay ngắn hạn,Cuối năm VND,Đầu năm VND,numeric__Phải thu về cho vay ngắn hạn,numeric__Cuối năm VND,numeric__Đầu năm VND
a),a),a),Công ty CP Cấu kiện Bê tông DIC Miền Đông,1.755.480.742,-,,1755480742.0,
a),a),a),Công ty CP ĐTPT Phương Nam,35.700.000.000,12.700.000.000,,35700000000.0,12700000000.0
a),a),a),Công ty CP ĐTPTXD DLTT Vũng Tàu,-,18.000.000.000,,,18000000000.0
a),a),a),Cộng,37.455.480.742,30.700.000.000,,37455480742.0,30700000000.0
b),b),b),Phải thu về cho vay dài hạn,Cuối năm VND,Đầu năm VND,,,
b),b) > b),b),Công ty CP Gạch men Anh em DIC,10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
b),b) > b),b),Công ty CP Cấu kiện Bê tông DIC Miền Đông,8.054.507.014,-,,8054507014.0,
b),b) > b),b),Công ty CP Đầu tư XD A.T.A (BQL dự án A.T.A),16.242.803.794,26.242.803.794,,16242803794.0,26242803794.0
b),b) > b),b),Công ty CP Đầu tư XD A.T.A,-,4.456.000.000,,,4456000000.0
b),b) > b),b),Cộng,34.297.310.808,40.698.803.794,,34297310808.0,40698803794.0
