row_label_raw,row_label_full,b),Thuế và các khoản phải nộp Nhà nước > Thuế giá trị gia tăng,Đầu năm VND > 6.194.971.190,Số phải nộp VND > 39.706.256.958,Số đã thực nộp VND > 39.143.373.216,Cuối năm VND > 6.757.854.932,numeric__Thuế và các khoản phải nộp Nhà nước > Thuế giá trị gia tăng,numeric__Đầu năm VND > 6.194.971.190,numeric__Số phải nộp VND > 39.706.256.958,numeric__Số đã thực nộp VND > 39.143.373.216,numeric__Cuối năm VND > 6.757.854.932
,,,Thuế tiêu thụ đặc biệt,3.356.643,25.174.828,26.651.541,1.879.930,,3356643.0,25174828.0,26651541.0,1879930.0
,,,Thuế thu nhập doanh nghiệp,27.953.089.091,39.192.766.796,34.904.611.462,32.241.244.425,,27953089091.0,39192766796.0,34904611462.0,32241244425.0
