row_label_raw,row_label_full,"23. Quỹ khen thưởng, phúc lợi",Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Quỹ khen thưởng,Quỹ khen thưởng,Quỹ khen thưởng,(555.262.392),(1.096.926.221),-555262392.0,-1096926221.0
Quỹ phúc lợi,Quỹ phúc lợi,Quỹ phúc lợi,(1.415.136.108),(1.925.643.797),-1415136108.0,-1925643797.0
Cộng,Cộng,Cộng,(1.970.398.500),(3.022.570.018),-1970398500.0,-3022570018.0
24. Thuế thu nhập hoãn lại phải trả,24. Thuế thu nhập hoãn lại phải trả,24. Thuế thu nhập hoãn lại phải trả,Cuối năm VND,Đầu năm VND,,
Hoàn nhập dự phòng Công ty con và Công ty liên kết,24. Thuế thu nhập hoãn lại phải trả > Hoàn nhập dự phòng Công ty con và Công ty liên kết,Hoàn nhập dự phòng Công ty con và Công ty liên kết,13.863.831.087,20.817.735.268,13863831087.0,20817735268.0
Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ,24. Thuế thu nhập hoãn lại phải trả > Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ,Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ,15.870.325.215,15.870.325.215,15870325215.0,15870325215.0
Cộng,24. Thuế thu nhập hoãn lại phải trả > Cộng,Cộng,29.734.156.302,36.688.060.483,29734156302.0,36688060483.0
25. Dự phòng phải trả dài hạn,25. Dự phòng phải trả dài hạn,25. Dự phòng phải trả dài hạn,Cuối năm VND,Đầu năm VND,,
Dự phòng bảo hành sản phẩm hàng hóa,25. Dự phòng phải trả dài hạn > Dự phòng bảo hành sản phẩm hàng hóa,Dự phòng bảo hành sản phẩm hàng hóa,748.347.984,645.223.711,748347984.0,645223711.0
Công ty CP DIC Vật liệu XD,25. Dự phòng phải trả dài hạn > Công ty CP DIC Vật liệu XD,Công ty CP DIC Vật liệu XD,748.347.984,645.223.711,748347984.0,645223711.0
Dự phòng bảo hành công trình xây dựng,25. Dự phòng phải trả dài hạn > Dự phòng bảo hành công trình xây dựng,Dự phòng bảo hành công trình xây dựng,1.000.000.000,,1000000000.0,
Cộng,25. Dự phòng phải trả dài hạn > Cộng,Cộng,1.748.347.984,645.223.711,1748347984.0,645223711.0
