row_label_raw,row_label_full,11. Tài sản cố định hữu hình,Nhà cửa,Máy móc thiết bị,Phương tiện vận tải,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng VND,numeric__Nhà cửa,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,248.577.352.481,171.322.888.203,41.516.372.977,8.959.568.787,12.726.194.741,483.102.377.189,248577352481.0,171322888203.0,41516372977.0,8959568787.0,12726194741.0,483102377189.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,93.976.000,1.598.796.190,4.942.565.454,492.721.000,161.736.273,7.289.794.917,93976000.0,1598796190.0,4942565454.0,492721000.0,161736273.0,7289794917.0
Đầu tư XD hoàn thành,Nguyên giá > Đầu tư XD hoàn thành,Đầu tư XD hoàn thành,1.571.005.698,5.097.805.340,,,,6.668.811.038,1571005698.0,5097805340.0,,,,6668811038.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(273.300.880),(779.016.469),(2.053.005.715),(112.870.212),(90.500.000),(3.308.693.276),-273300880.0,-779016469.0,-2053005715.0,-112870212.0,-90500000.0,-3308693276.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(22.842.717.760),(18.881.744.353),(598.634.545),,(167.796.672),(42.490.893.330),-22842717760.0,-18881744353.0,-598634545.0,,-167796672.0,-42490893330.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,227.126.315.539,158.358.728.911,43.807.298.171,9.339.419.575,12.629.634.342,451.261.396.538,227126315539.0,158358728911.0,43807298171.0,9339419575.0,12629634342.0,451261396538.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,75.614.041.948,122.286.868.130,26.022.551.949,7.560.958.216,4.622.545.859,236.106.966.102,75614041948.0,122286868130.0,26022551949.0,7560958216.0,4622545859.0,236106966102.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.403.474.589,6.476.198.870,3.367.689.099,399.765.471,662.791.824,18.309.919.853,7403474589.0,6476198870.0,3367689099.0,399765471.0,662791824.0,18309919853.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(273.300.880),(604.756.947),(2.000.594.992),(112.870.212),(48.783.348),(3.040.306.379),-273300880.0,-604756947.0,-2000594992.0,-112870212.0,-48783348.0,-3040306379.0
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,(4.832.447.196),(9.281.224.995),(29.557.583),,(167.796.672),(14.311.026.446),-4832447196.0,-9281224995.0,-29557583.0,,-167796672.0,-14311026446.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,77.911.768.461,118.877.085.058,27.360.088.473,7.847.853.475,5.068.757.663,237.065.553.130,77911768461.0,118877085058.0,27360088473.0,7847853475.0,5068757663.0,237065553130.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,172.963.310.533,49.036.020.073,15.493.821.028,1.398.610.571,8.103.648.882,246.995.411.087,172963310533.0,49036020073.0,15493821028.0,1398610571.0,8103648882.0,246995411087.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,149.214.547.078,39.481.643.853,16.447.209.698,1.491.566.100,7.560.876.679,214.195.843.408,149214547078.0,39481643853.0,16447209698.0,1491566100.0,7560876679.0,214195843408.0
