row_label_raw,row_label_full,17. Người mua trả tiền trước ngắn hạn,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Công ty CP Taekwang Vina Industrial,Công ty CP Taekwang Vina Industrial,Công ty CP Taekwang Vina Industrial,-,11.331.120.000,,11331120000.0
Công ty CP Quốc tế Song Khuê,Công ty CP Quốc tế Song Khuê,Công ty CP Quốc tế Song Khuê,2.090.283.720,-,2090283720.0,
Nhóm khách hàng mua BĐS của Tổng Công ty,Nhóm khách hàng mua BĐS của Tổng Công ty,Nhóm khách hàng mua BĐS của Tổng Công ty,754.143.843.363,496.366.373.973,754143843363.0,496366373973.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,4.019.277.963,5.821.058.059,4019277963.0,5821058059.0
Cộng,Cộng,Cộng,760.253.405.046,513.518.552.032,760253405046.0,513518552032.0
