row_label_raw,row_label_full,9. Lợi nhuận khác,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Thu nhập khác,Thu nhập khác,Thu nhập khác,52.900.607.699,6.767.645.282,52900607699.0,6767645282.0
"Tiền chiết khấu, khuyến mãi","Tiền chiết khấu, khuyến mãi","Tiền chiết khấu, khuyến mãi",2.596.613.745,2.925.099.212,2596613745.0,2925099212.0
Xử lý công nợ không phải trả,Xử lý công nợ không phải trả,Xử lý công nợ không phải trả,152.462.161,-,152462161.0,
Thu tiền phạt do vi phạm hợp đồng kinh tế,Thu tiền phạt do vi phạm hợp đồng kinh tế,Thu tiền phạt do vi phạm hợp đồng kinh tế,3.112.894.977,1.734.099.480,3112894977.0,1734099480.0
"Thu nhập thanh lý tài sản cố định, công cụ dụng cụ","Thu nhập thanh lý tài sản cố định, công cụ dụng cụ","Thu nhập thanh lý tài sản cố định, công cụ dụng cụ",783.433.932,393.939.044,783433932.0,393939044.0
Phạt tiền lãi do chậm thanh toán,Phạt tiền lãi do chậm thanh toán,Phạt tiền lãi do chậm thanh toán,923.683.227,616.337.002,923683227.0,616337002.0
Thu do chi hộ,Thu do chi hộ,Thu do chi hộ,625.525.238,-,625525238.0,
Chênh lệch do đánh giá tài sản góp vốn,Chênh lệch do đánh giá tài sản góp vốn,Chênh lệch do đánh giá tài sản góp vốn,29.634.531.796,-,29634531796.0,
Điều chỉnh doanh thu nhận trước của Công ty liên kết,Điều chỉnh doanh thu nhận trước của Công ty liên kết,Điều chỉnh doanh thu nhận trước của Công ty liên kết,13.377.562.624,-,13377562624.0,
Thu nhập khác,Thu nhập khác,Thu nhập khác,1.693.899.999,1.098.170.544,1693899999.0,1098170544.0
Chi phí khác,Chi phí khác,Chi phí khác,4.370.483.447,5.710.185.630,4370483447.0,5710185630.0
Giá trị còn lại của tài sản cố định thanh lý,Giá trị còn lại của tài sản cố định thanh lý,Giá trị còn lại của tài sản cố định thanh lý,25.724.023,3.790.332.903,25724023.0,3790332903.0
"Phạt chậm nộp, vi phạm hành chính","Phạt chậm nộp, vi phạm hành chính","Phạt chậm nộp, vi phạm hành chính",1.517.822.708,45.000.000,1517822708.0,45000000.0
Phạt do vi phạm hợp đồng kinh tế,Phạt do vi phạm hợp đồng kinh tế,Phạt do vi phạm hợp đồng kinh tế,1.046.972.545,-,1046972545.0,
Thu do chi hộ,Thu do chi hộ,Thu do chi hộ,604.938.874,-,604938874.0,
Chi phí khác,Chi phí khác,Chi phí khác,1.175.025.297,1.874.852.727,1175025297.0,1874852727.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,48.530.124.252,1.057.459.652,48530124252.0,1057459652.0
