row_label_raw,row_label_full,Tên Công ty,Lĩnh vực kinh doanh chính,% Sở hữu,numeric__Lĩnh vực kinh doanh chính,numeric__% Sở hữu
Công ty CP Đầu tư Phát triển Xây dựng Phương Bắc,Công ty CP Đầu tư Phát triển Xây dựng Phương Bắc,Công ty CP Đầu tư Phát triển Xây dựng Phương Bắc,Xây dựng nhà các loại; Bán buôn đồ dùng khác cho gia đình; Dịch vụ lưu trú ngắn ngày; Cơ sở lưu trú khác...,95,,95.0
Công ty TNHH Quản lý Khai thác tài sản DIC Bình Minh,Công ty TNHH Quản lý Khai thác tài sản DIC Bình Minh,Công ty TNHH Quản lý Khai thác tài sản DIC Bình Minh,"Môi giới cho thuê tài sản, bất động sản; Môi giới mua bán, chuyển nhượng tài sản, bất động sản; Tư vấn quản lý, khai thác tài sản, bất động sản; Dịch vụ quản lý tài sản, bất động sản.",100,,100.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty CP Đầu tư Phát triển Xây dựng Hội An,Công ty liên kết > Công ty CP Đầu tư Phát triển Xây dựng Hội An,Công ty CP Đầu tư Phát triển Xây dựng Hội An,"Đầu tư xây dựng, sản xuất kinh doanh vật liệu xây dựng, khai thác chế biến khoáng sản, khách sạn du lịch.","29,97",,29.97
Công ty CP Bất động sản DIC,Công ty liên kết > Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,"Kinh doanh nhà, môi giới bất động sản, dịch vụ nhà đất, quản lý bất động sản, tư vấn đầu tư, xây dựng.","42,67",,42.67
Công ty CP Đầu tư Phát triển Xây dựng Bê tông,Công ty liên kết > Công ty CP Đầu tư Phát triển Xây dựng Bê tông,Công ty CP Đầu tư Phát triển Xây dựng Bê tông,"Sản xuất và kinh doanh bê tông thương phẩm, Kinh doanh và sửa chữa thiết bị, xe máy thi công xây dựng, đầu tư xây dựng.","36,00",,36.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,"Kinh doanh cơ sở lưu trú du lịch, khách sạn, quán rượu, bia, quầy bar; kinh doanh dịch vụ ăn uống; mua bán đồ uống có cồn và đồ uống không có cồn.","43,00",,43.0
Công ty CP Đầu tư Việt Thiên Lâm,Công ty liên kết > Công ty CP Đầu tư Việt Thiên Lâm,Công ty CP Đầu tư Việt Thiên Lâm,"Tư vấn đầu tư, kinh doanh bất động sản, xây dựng các công trình dân dụng.","22,00",,22.0
Công ty CP Gạch men Anh Em,Công ty liên kết > Công ty CP Gạch men Anh Em,Công ty CP Gạch men Anh Em,"Sản xuất mua bán gạch men, khai thác khoáng sản...","40,83",,40.83
Công ty CP Đầu tư Phát triển Xây dựng Du lịch thể thao Vũng Tàu,Công ty liên kết > Công ty CP Đầu tư Phát triển Xây dựng Du lịch thể thao Vũng Tàu,Công ty CP Đầu tư Phát triển Xây dựng Du lịch thể thao Vũng Tàu,"Tổ chức các giải thể thao, kinh doanh sân golf, mua bán dụng cụ thể thao, dịch vụ kho cảng, thi công xây dựng các công trình dân dụng...","23,92",,23.92
