row_label_raw,row_label_full,Cổ đông,Cuối năm > Giá trị VND,Cuối năm > %,Đầu năm > Giá trị VND,Đầu năm > %,numeric__Cuối năm > Giá trị VND,numeric__Cuối năm > %,numeric__Đầu năm > Giá trị VND,numeric__Đầu năm > %
Đại diện vốn Nhà nước,Đại diện vốn Nhà nước,Đại diện vốn Nhà nước,-,-,1.182.602.610.000,"49,65",,,1182602610000.0,49.65
Vốn góp cổ đông là tổ chức,Vốn góp cổ đông là tổ chức,Vốn góp cổ đông là tổ chức,898.828.300.000,"37,74",-,-,898828300000.0,37.74,,
Vốn góp các cổ đông khác,Vốn góp các cổ đông khác,Vốn góp các cổ đông khác,1.483.119.890.000,"62,26",1.199.345.580.000,"50,35",1483119890000.0,62.26,1199345580000.0,50.35
Cộng,Cộng,Cộng,2.381.948.190.000,100,2.381.948.190.000,100,2381948190000.0,100.0,2381948190000.0,100.0
