row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khác > Đầu tư vào đơn vị khác,Cuối năm VND > SL,Cuối năm VND > %,Cuối năm VND > Giá gốc > 301.202.915.784,Cuối năm VND > Dự phòng > (28.350.546.955),Cuối năm VND > Giá trị hợp lý > 272.852.368.829,Đầu năm VND > SL,Đầu năm VND > %,Đầu năm VND > Giá gốc > 150.793.688.973,Đầu năm VND > Dự phòng > (6.995.468.284),Đầu năm VND > Giá trị hợp lý > 143.798.220.689,numeric__Cuối năm VND > SL,numeric__Cuối năm VND > %,numeric__Cuối năm VND > Giá gốc > 301.202.915.784,numeric__Cuối năm VND > Dự phòng > (28.350.546.955),numeric__Cuối năm VND > Giá trị hợp lý > 272.852.368.829,numeric__Đầu năm VND > SL,numeric__Đầu năm VND > %,numeric__Đầu năm VND > Giá gốc > 150.793.688.973,numeric__Đầu năm VND > Dự phòng > (6.995.468.284),numeric__Đầu năm VND > Giá trị hợp lý > 143.798.220.689
Công ty CP DIC số 4,Công ty CP DIC số 4,Công ty CP DIC số 4,882.397,"14,55",7.369.504.500,-,7.369.504.500,802.179,"14,55",7.369.504.500,-,7.369.504.500,882397.0,14.55,7369504500.0,,7369504500.0,802179.0,14.55,7369504500.0,,7369504500.0
Công ty CP Đầu tư & Thương mại DIC,Công ty CP Đầu tư & Thương mại DIC,Công ty CP Đầu tư & Thương mại DIC,3.992.577,"14,75",41.104.911.284,-,41.104.911.284,2.683.259,"10,09",33.062.084.473,(899.960.377),32.162.124.096,3992577.0,14.75,41104911284.0,,41104911284.0,2683259.0,10.09,33062084473.0,-899960377.0,32162124096.0
Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,12.880.000,"8,00",128.800.000.000,(7.481.277.466),121.318.722.534,-,-,-,-,-,12880000.0,8.0,128800000000.0,-7481277466.0,121318722534.0,,,,,
Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,,-,-,-,-,1.090.909,-,24.000.000.000,-,24.000.000.000,,,,,,1090909.0,,24000000000.0,,24000000000.0
Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,143.000,"9,02",1.240.000.000,(783.914.553),456.085.447,143.000,"9,02",1.240.000.000,(783.914.553),456.085.447,143000.0,9.02,1240000000.0,-783914553.0,456085447.0,143000.0,9.02,1240000000.0,-783914553.0,456085447.0
Công ty CP Sông Đà – Hà Nội,Công ty CP Sông Đà – Hà Nội,Công ty CP Sông Đà – Hà Nội,600.000,"15,00",6.000.000.000,-,6.000.000.000,600.000,"15,00",6.000.000.000,-,6.000.000.000,600000.0,15.0,6000000000.0,,6000000000.0,600000.0,15.0,6000000000.0,,6000000000.0
Công ty CP Cao su Phú Riềng Kratie,Công ty CP Cao su Phú Riềng Kratie,Công ty CP Cao su Phú Riềng Kratie,2.000.000,"5,00",20.000.000.000,(20.000.000.000),-,2.000.000,"5,00",20.000.000.000,-,20.000.000.000,2000000.0,5.0,20000000000.0,-20000000000.0,,2000000.0,5.0,20000000000.0,,20000000000.0
Công ty TNHH J&D Đại An,Công ty TNHH J&D Đại An,Công ty TNHH J&D Đại An,-,"5,00",8.469.000.000,(6.124.754),8.462.875.246,-,"5,00",8.469.000.000,(6.124.754),8.462.875.246,,5.0,8469000000.0,-6124754.0,8462875246.0,,5.0,8469000000.0,-6124754.0,8462875246.0
Công ty TNHH Taekwang DIC,Công ty TNHH Taekwang DIC,Công ty TNHH Taekwang DIC,-,"10,00",38.025.000.000,-,38.025.000.000,-,"10,00",38.025.000.000,-,38.025.000.000,,10.0,38025000000.0,,38025000000.0,,10.0,38025000000.0,,38025000000.0
Công ty CP Phát triển đô thị Phú Quốc,Công ty CP Phát triển đô thị Phú Quốc,Công ty CP Phát triển đô thị Phú Quốc,5.000.000,"6,67",50.000.000.000,-,50.000.000.000,-,-,-,-,-,5000000.0,6.67,50000000000.0,,50000000000.0,,,,,
Ủy thác vốn DIC,Ủy thác vốn DIC,Ủy thác vốn DIC,,-,-,-,-,1.239.318,"6,44",11.733.600.000,(5.239.573.680),6.494.026.320,,,,,,1239318.0,6.44,11733600000.0,-5239573680.0,6494026320.0
TCT Bia- Rượu - Nước GK Sài Gòn,TCT Bia- Rượu - Nước GK Sài Gòn,TCT Bia- Rượu - Nước GK Sài Gòn,-,"0,01",-,-,-,-,"0,01",700.000.000,-,700.000.000,,0.01,,,,,0.01,700000000.0,,700000000.0
Công ty CP TM Sabeco trung tâm,Công ty CP TM Sabeco trung tâm,Công ty CP TM Sabeco trung tâm,-,"0,01",43.000.000,-,43.000.000,-,"0,01",43.000.000,-,43.000.000,,0.01,43000000.0,,43000000.0,,0.01,43000000.0,,43000000.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,151.500.000,(79.230.182),72.269.818,-,-,151.500.000,(65.894.920),85.605.080,,,151500000.0,-79230182.0,72269818.0,,,151500000.0,-65894920.0,85605080.0
,,,882.397,"14,55",,,,,,,,,882397.0,14.55,,,,,,,,
Cộng,Cộng,Cộng,,,546.237.630.103,(28.350.546.955),517.887.083.148,,,901.833.556.882,(6.995.468.284),894.838.088.598,,,546237630103.0,-28350546955.0,517887083148.0,,,901833556882.0,-6995468284.0,894838088598.0
