row_label_raw,row_label_full,a) Thuế và các khoản khác phải thu Nhà nước,Đầu năm VND,Số phải thu VND,Số đã thực nộp VND,Cuối năm VND,numeric__Đầu năm VND,numeric__Số phải thu VND,numeric__Số đã thực nộp VND,numeric__Cuối năm VND
Thuế thu nhập DN nộp thừa,Thuế thu nhập DN nộp thừa,Thuế thu nhập DN nộp thừa,-,2.774.559.284,5.234.858.867,2.460.299.583,,2774559284.0,5234858867.0,2460299583.0
Các khoản thuế nộp thừa Nhà nước,Các khoản thuế nộp thừa Nhà nước,Các khoản thuế nộp thừa Nhà nước,9.917.643.210,9.547.669.269,330.090.796,700.064.737,9917643210.0,9547669269.0,330090796.0,700064737.0
Cộng,Cộng,Cộng,9.917.643.210,12.322.228.553,5.564.949.663,3.160.364.320,9917643210.0,12322228553.0,5564949663.0,3160364320.0
