row_label_raw,row_label_full,12. Tài sản cố định vô hình,Quyền sử dụng đất,Phần mềm máy vi tính,Tài sản cố định khác,Tổng cộng VND,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__Tài sản cố định khác,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,12.262.142.281,141.321.000,231.730.816,12.635.194.097,12262142281.0,141321000.0,231730816.0,12635194097.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.561.316.000,,,5.561.316.000,5561316000.0,,,5561316000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,17.823.458.281,141.321.000,231.730.816,18.196.510.097,17823458281.0,141321000.0,231730816.0,18196510097.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,568.431.522,141.321.000,90.761.235,800.513.757,568431522.0,141321000.0,90761235.0,800513757.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,44.560.964,,11.586.540,56.147.504,44560964.0,,11586540.0,56147504.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,612.992.486,141.321.000,102.347.775,856.661.261,612992486.0,141321000.0,102347775.0,856661261.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,11.693.710.759,,140.969.581,11.834.680.340,11693710759.0,,140969581.0,11834680340.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,17.210.465.795,,129.383.041,17.339.848.836,17210465795.0,,129383041.0,17339848836.0
