row_label_raw,row_label_full,16. Phải trả người bán ngắn hạn,Cuôi năm VND,Đâu năm VND,numeric__Cuôi năm VND,numeric__Đâu năm VND
Công ty TNHH TM DV Thịnh Nhất,Công ty TNHH TM DV Thịnh Nhất,Công ty TNHH TM DV Thịnh Nhất,1.348.309.349,,1348309349.0,
Công ty CP Đầu tư XD Giao Thông Đức Tân,Công ty CP Đầu tư XD Giao Thông Đức Tân,Công ty CP Đầu tư XD Giao Thông Đức Tân,1.145.461.635,,1145461635.0,
Công ty CP Tuân Tân Phát,Công ty CP Tuân Tân Phát,Công ty CP Tuân Tân Phát,1.175.793.700,,1175793700.0,
Công ty TNHH Ngọc An,Công ty TNHH Ngọc An,Công ty TNHH Ngọc An,2.171.999.214,,2171999214.0,
HTX Vật liệu XD Tuổi trẻ,HTX Vật liệu XD Tuổi trẻ,HTX Vật liệu XD Tuổi trẻ,2.620.280.000,,2620280000.0,
Công fiscal CP Vật từ thép Hà Nội,Công fiscal CP Vật từ thép Hà Nội,Công fiscal CP Vật từ thép Hà Nội,1.451.046.372,,1451046372.0,
Công ty TNHH Đại Tân,Công ty TNHH Đại Tân,Công ty TNHH Đại Tân,2.049.128.750,,2049128750.0,
Công ty TNHH Thiết bị điện Quý Dần,Công ty TNHH Thiết bị điện Quý Dần,Công ty TNHH Thiết bị điện Quý Dần,1.179.465.370,,1179465370.0,
Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,56.610.468.180,63.738.930.330,56610468180.0,63738930330.0
"Phải trả người bán ngắn hạn là các bên liên quan, gồm","Phải trả người bán ngắn hạn là các bên liên quan, gồm","Phải trả người bán ngắn hạn là các bên liên quan, gồm",76.821.968.661,21.166.743.447,76821968661.0,21166743447.0
Công ty CP ĐTPTXD Bê tông,Công ty CP ĐTPTXD Bê tông,Công ty CP ĐTPTXD Bê tông,9.179.836.250,324.626.850,9179836250.0,324626850.0
Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,10.115.029.158,2.313.913.226,10115029158.0,2313913226.0
Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,9.246.430.292,8.821.471.067,9246430292.0,8821471067.0
Công ty CP DIC số 4,Công ty CP DIC số 4,Công ty CP DIC số 4,48.280.672.961,9.706.732.304,48280672961.0,9706732304.0
Cộng,Cộng,Cộng,214.120.906.402,160.109.952.362,214120906402.0,160109952362.0
