row_label_raw,row_label_full,b) Phải thu dài hạn khác,Cuối năm VND > Giá trị gốc,Cuối năm VND > Dự phòng,Đầu năm VND > Giá trị gốc,Đầu năm VND > Dự phòng,numeric__Cuối năm VND > Giá trị gốc,numeric__Cuối năm VND > Dự phòng,numeric__Đầu năm VND > Giá trị gốc,numeric__Đầu năm VND > Dự phòng
"Ký quǐ, ký cược ngắn hạn","Ký quǐ, ký cược ngắn hạn","Ký quǐ, ký cược ngắn hạn",1.542.405.267,-,1.470.072.834,-,1542405267.0,,1470072834.0,
Phải thu khác,Phải thu khác,Phải thu khác,87.318.359.768,-,87.318.359.768,-,87318359768.0,,87318359768.0,
Công ty CP Đầu tư và TM DIC,Công ty CP Đầu tư và TM DIC,Công ty CP Đầu tư và TM DIC,3.000.000.000,-,3.000.000.000,-,3000000000.0,,3000000000.0,
Công ty CP Đầu tư XD A.T.A,Công ty CP Đầu tư XD A.T.A,Công ty CP Đầu tư XD A.T.A,84.318.359.768,-,84.318.359.768,-,84318359768.0,,84318359768.0,
Cộng,Cộng,Cộng,88.860.765.035,-,88.788.432.602,-,88860765035.0,,88788432602.0,
