row_label_raw,row_label_full,Trả trước cho người bán ngắn hạn,Cuối năm VND > Giá trị gốc,Cuối năm VND > Dự phòng,Đầu năm VND > Giá trị gốc,Đầu năm VND > Dự phòng,numeric__Cuối năm VND > Giá trị gốc,numeric__Cuối năm VND > Dự phòng,numeric__Đầu năm VND > Giá trị gốc,numeric__Đầu năm VND > Dự phòng
Trả trước cho các bên liên quan,Trả trước cho các bên liên quan,Trả trước cho các bên liên quan,7.335.286.419,-,146.720.368.600,-,7335286419.0,,146720368600.0,
Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,-,-,3.470.381.534,-,,,3470381534.0,
Công ty CP ĐTPT Phương Nam,Công ty CP ĐTPT Phương Nam,Công ty CP ĐTPT Phương Nam,7.335.286.419,-,143.249.987.066,-,7335286419.0,,143249987066.0,
"Các nhà cung cấp khác, gồm","Các nhà cung cấp khác, gồm","Các nhà cung cấp khác, gồm",41.218.644.143,(1.127.106.180),56.780.631.885,(1.127.106.180),41218644143.0,-1127106180.0,56780631885.0,-1127106180.0
Công ty CP ĐTPTXD Phước An,Công ty CP ĐTPTXD Phước An,Công ty CP ĐTPTXD Phước An,-,-,12.586.641.114,-,,,12586641114.0,
Công ty TNHH Phước An,Công ty TNHH Phước An,Công ty TNHH Phước An,7.035.975.501,-,3.382.964.777,-,7035975501.0,,3382964777.0,
Công ty CP Công trình GT 68,Công ty CP Công trình GT 68,Công ty CP Công trình GT 68,10.312.541.774,-,10.312.541.774,-,10312541774.0,,10312541774.0,
Công ty TNHH Kỹ nghệ Việt,Công ty TNHH Kỹ nghệ Việt,Công ty TNHH Kỹ nghệ Việt,-,-,6.374.848.000,-,,,6374848000.0,
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,23.870.126.868,(1.127.106.180),24.123.636.220,(1.127.106.180),23870126868.0,-1127106180.0,24123636220.0,-1127106180.0
Cộng,Cộng,Cộng,48.553.930.562,(1.127.106.180),203.501.000.485,(1.127.106.180),48553930562.0,-1127106180.0,203501000485.0,-1127106180.0
