row_label_raw,row_label_full,a) Phải thu ngắn hạn khác,Cuối năm VND > Giá trị gốc,Cuối năm VND > Dự phòng,Đầu năm VND > Giá trị gốc,Đầu năm VND > Dự phòng,numeric__Cuối năm VND > Giá trị gốc,numeric__Cuối năm VND > Dự phòng,numeric__Đầu năm VND > Giá trị gốc,numeric__Đầu năm VND > Dự phòng
Tạm ứng,Tạm ứng,Tạm ứng,23.291.103.036,(6.641.704.220),32.537.288.221,(6.717.607.815),23291103036.0,-6641704220.0,32537288221.0,-6717607815.0
"Ký quǐ, ký cược ngắn hạn","Ký quǐ, ký cược ngắn hạn","Ký quǐ, ký cược ngắn hạn",333.610.000,-,379.510.000,-,333610000.0,,379510000.0,
Phải thu khác,Phải thu khác,Phải thu khác,183.225.809.178,(31.996.190),94.858.628.402,(31.996.190),183225809178.0,-31996190.0,94858628402.0,-31996190.0
Phải thu các bên liên quan,Phải thu các bên liên quan,Phải thu các bên liên quan,9.621.263.009,-,34.549.629.936,,9621263009.0,,34549629936.0,
Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,78.070.753,-,-,-,78070753.0,,,
Ứng trước đến bù DA Bàu Trũng,Ứng trước đến bù DA Bàu Trũng,Ứng trước đến bù DA Bàu Trũng,2.000.000.000,-,28.217.555.600,-,2000000000.0,,28217555600.0,
Ứng trước đến bù DA Long Tân,Ứng trước đến bù DA Long Tân,Ứng trước đến bù DA Long Tân,40.412.625.600,-,10.075.000.000,-,40412625600.0,,10075000000.0,
Ứng trước đến bù DA Bắc V.Tàu,Ứng trước đến bù DA Bắc V.Tàu,Ứng trước đến bù DA Bắc V.Tàu,13.025.000.000,,,,13025000000.0,,,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,118.088.849.816,(31.996.190),22.016.442.866,(31.996.190),118088849816.0,-31996190.0,22016442866.0,-31996190.0
Cộng,Cộng,Cộng,206.850.522.214,(6.673.700.410),127.775.426.623,(6.749.604.005),206850522214.0,-6673700410.0,127775426623.0,-6749604005.0
