row_label_raw,row_label_full,Ngày kết thúc,:,29/12/2016,numeric__:,numeric__29/12/2016
Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,:,21.000.000 cổ phiếu,,
Giá trị đăng ký phát hành,Giá trị đăng ký phát hành,Giá trị đăng ký phát hành,:,215.000.000.000 đồng,,
Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,:,6.500.000 cổ phiếu,,
Giá trị đã phát hành,Giá trị đã phát hành,Giá trị đã phát hành,:,65.000.000.000 đồng,,
Số tiền thu được,Số tiền thu được,Số tiền thu được,:,65.000.000.000 đồng,,
Phí phát hành,Phí phát hành,Phí phát hành,:,15.000.000 đồng,,
Thu ròng từ đợt phát hành,Thu ròng từ đợt phát hành,Thu ròng từ đợt phát hành,:,64.985.000.000 đồng,,
Vốn chủ sở hữu tăng thêm,Vốn chủ sở hữu tăng thêm,Vốn chủ sở hữu tăng thêm,:,65.000.000.000 đồng,,
