row_label_raw,row_label_full,14. Chi phí xây dựng cơ bản dở dang,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Sửa chữa khách sạn Capsaint Jacques,Sửa chữa khách sạn Capsaint Jacques,Sửa chữa khách sạn Capsaint Jacques,,1.193.299.736,,1193299736.0
"Mỏ đá tại Gia Kiệm , Đồng Nai","Mỏ đá tại Gia Kiệm , Đồng Nai","Mỏ đá tại Gia Kiệm , Đồng Nai",1.173.048.503,1.023.048.503,1173048503.0,1023048503.0
Cảng thông quan nội địa,Cảng thông quan nội địa,Cảng thông quan nội địa,29.404.936.995,29.404.936.995,29404936995.0,29404936995.0
"Dự án khu dụ lịch sinh thái, vui chơi giải trí Ba Sao","Dự án khu dụ lịch sinh thái, vui chơi giải trí Ba Sao","Dự án khu dụ lịch sinh thái, vui chơi giải trí Ba Sao",21.826.681.660,21.503.954.387,21826681660.0,21503954387.0
Chi phí xây dựng dở dang khác,Chi phí xây dựng dở dang khác,Chi phí xây dựng dở dang khác,15.593.302.975,15.611.302.713,15593302975.0,15611302713.0
Cộng,Cộng,Cộng,67.997.970.133,68.781.763.243,67997970133.0,68781763243.0
15. Tài sản thuế thu nhập hoãn lại,15. Tài sản thuế thu nhập hoãn lại,15. Tài sản thuế thu nhập hoãn lại,Cuối năm VND,Đầu năm VND,,
Lợi nhuận chưa thực hiện từ tài sản mua bán nội bộ,15. Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện từ tài sản mua bán nội bộ,Lợi nhuận chưa thực hiện từ tài sản mua bán nội bộ,,733.214.947,,733214947.0
Lợi nhuận chưa thực hiện khi góp vốn vào Công ty liên kết,15. Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện khi góp vốn vào Công ty liên kết,Lợi nhuận chưa thực hiện khi góp vốn vào Công ty liên kết,4.452.480.131,20.247.688.259,4452480131.0,20247688259.0
Cộng,15. Tài sản thuế thu nhập hoãn lại > Cộng,Cộng,4.452.480.131,20.980.903.206,4452480131.0,20980903206.0
16. Phải trả người bán ngắn hạn,16. Phải trả người bán ngắn hạn,16. Phải trả người bán ngắn hạn,Cuối năm VND,Đầu năm VND,,
Công ty TNHH Xuân Vy,16. Phải trả người bán ngắn hạn > Công ty TNHH Xuân Vy,Công ty TNHH Xuân Vy,2.592.612.614,2.025.885.297,2592612614.0,2025885297.0
Công ty TNHH Kỹ nghệ Toàn Tâm,16. Phải trả người bán ngắn hạn > Công ty TNHH Kỹ nghệ Toàn Tâm,Công ty TNHH Kỹ nghệ Toàn Tâm,4.333.824.000,6.814.375.000,4333824000.0,6814375000.0
Công ty TNHH B và H,16. Phải trả người bán ngắn hạn > Công ty TNHH B và H,Công ty TNHH B và H,3.721.478.604,3.716.611.349,3721478604.0,3716611349.0
Công ty TNHH Thang máy & TB Thăng Long,16. Phải trả người bán ngắn hạn > Công ty TNHH Thang máy & TB Thăng Long,Công ty TNHH Thang máy & TB Thăng Long,,19.371.000.000,,19371000000.0
Công ty TNHH Xây dựng Phương Lĩnh,16. Phải trả người bán ngắn hạn > Công ty TNHH Xây dựng Phương Lĩnh,Công ty TNHH Xây dựng Phương Lĩnh,1.662.862.000,7.543.765.000,1662862000.0,7543765000.0
