row_label_raw,row_label_full,1. Tổng doanh thu bán hàng và cung cấp dịch vụ,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu bán hàng hóa đã bán,Doanh thu bán hàng hóa đã bán,Doanh thu bán hàng hóa đã bán,306.223.880.382,316.711.728.581,306223880382.0,316711728581.0
Doanh thu bán thành phẩm đã bán,Doanh thu bán thành phẩm đã bán,Doanh thu bán thành phẩm đã bán,83.644.183.854,145.705.823.464,83644183854.0,145705823464.0
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,58.151.699.844,60.632.103.723,58151699844.0,60632103723.0
Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,111.626.927.293,183.181.434.858,111626927293.0,183181434858.0
Doanh thu kinh doanh bất động sản,Doanh thu kinh doanh bất động sản,Doanh thu kinh doanh bất động sản,1.144.491.740.676,608.406.384.492,1144491740676.0,608406384492.0
Cộng,Cộng,Cộng,1.704.138.432.049,1.314.637.475.118,1704138432049.0,1314637475118.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,Năm nay VND,Năm trước VND,,
Giảm giá hàng bán,2. Các khoản giảm trừ doanh thu > Giảm giá hàng bán,Giảm giá hàng bán,1.355.844.223,,1355844223.0,
Hàng bán bị trả lại,2. Các khoản giảm trừ doanh thu > Hàng bán bị trả lại,Hàng bán bị trả lại,109.072.070.967,162.708.886.794,109072070967.0,162708886794.0
Cộng,2. Các khoản giảm trừ doanh thu > Cộng,Cộng,110.427.915.190,162.708.886.794,110427915190.0,162708886794.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm nay VND,Năm trước VND,,
Doanh thu thuần bán hàng đã bán,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần bán hàng đã bán,Doanh thu thuần bán hàng đã bán,306.223.880.382,316.711.728.581,306223880382.0,316711728581.0
Doanh thu thuần bán thành phẩm đã bán,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần bán thành phẩm đã bán,Doanh thu thuần bán thành phẩm đã bán,83.628.033.854,145.705.823.464,83628033854.0,145705823464.0
Doanh thu thuần cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần cung cấp dịch vụ,Doanh thu thuần cung cấp dịch vụ,58.151.699.844,60.632.103.723,58151699844.0,60632103723.0
Doanh thu thuần hợp đồng xây dựng,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần hợp đồng xây dựng,Doanh thu thuần hợp đồng xây dựng,110.271.083.070,183.181.434.858,110271083070.0,183181434858.0
Doanh thu thuần kinh doanh BĐS đầu tư,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần kinh doanh BĐS đầu tư,Doanh thu thuần kinh doanh BĐS đầu tư,1.035.435.819.709,445.697.497.698,1035435819709.0,445697497698.0
Cộng,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ > Cộng,Cộng,1.593.710.516.859,1.151.928.588.324,1593710516859.0,1151928588324.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,Năm nay VND,Năm trước VND,,
Giá vốn của hàng hóa đã bán,4. Giá vốn hàng bán > Giá vốn của hàng hóa đã bán,Giá vốn của hàng hóa đã bán,284.439.290.475,292.158.109.491,284439290475.0,292158109491.0
Giá vốn của thành phẩm đã bán,4. Giá vốn hàng bán > Giá vốn của thành phẩm đã bán,Giá vốn của thành phẩm đã bán,75.378.489.842,118.993.015.249,75378489842.0,118993015249.0
Giá vốn của dịch vụ đã cung cấp,4. Giá vốn hàng bán > Giá vốn của dịch vụ đã cung cấp,Giá vốn của dịch vụ đã cung cấp,6.629.138.033,13.808.485.581,6629138033.0,13808485581.0
Giá vốn của hợp đồng xây dựng,4. Giá vốn hàng bán > Giá vốn của hợp đồng xây dựng,Giá vốn của hợp đồng xây dựng,73.371.848.304,145.449.621.367,73371848304.0,145449621367.0
Giá vốn kinh doanh bất động sản,4. Giá vốn hàng bán > Giá vốn kinh doanh bất động sản,Giá vốn kinh doanh bất động sản,762.003.107.589,262.784.641.319,762003107589.0,262784641319.0
Dự phòng giảm giá hàng tồn kho,4. Giá vốn hàng bán > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,,148.650.000,,148650000.0
Cộng,4. Giá vốn hàng bán > Cộng,Cộng,1.201.821.874.243,833.342.523.007,1201821874243.0,833342523007.0
