row_label_raw,row_label_full,Trái phiếu phát hành,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Loại phát hành theo mênh giá (i),Loại phát hành theo mênh giá (i),Loại phát hành theo mênh giá (i),995.586.612.002,992.376.875.274,995586612002.0,992376875274.0
Mệnh giá (DIC.BOND.2014.1000),Mệnh giá (DIC.BOND.2014.1000),Mệnh giá (DIC.BOND.2014.1000),1.000.000.000.000,1.000.000.000.000,1000000000000.0,1000000000000.0
Chiết khấu trái phiếu,Chiết khấu trái phiếu,Chiết khấu trái phiếu,(4.413.387.998),(7.623.124.726),-4413387998.0,-7623124726.0
Cộng,Cộng,Cộng,995.586.612.002,992.376.875.274,995586612002.0,992376875274.0
