row_label_raw,row_label_full,Ông Nguyễn Hùng Cường,Phó chủ tịch HĐQT,Trường ban,numeric__Phó chủ tịch HĐQT,numeric__Trường ban
Ông Nguyễn Quang Tín,Ông Nguyễn Quang Tín,Ông Nguyễn Quang Tín,Ủy viên HĐQT,Thành viên,,
Ông Đình Quang Hoàn,Ông Đình Quang Hoàn,Ông Đình Quang Hoàn,Ủy viên HĐQT - Thành viện độc lập,Thành viên,,
