row_label_raw,row_label_full,5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính_1,Năm nayVND,Năm trướcVND,numeric__5. Doanh thu hoạt động tài chính_1,numeric__Năm nayVND,numeric__Năm trướcVND
,,,"Lãi tiền gửi, tiền cho vay",17.891.509.388,10.985.639.359,,17891509388.0,10985639359.0
,,,Nhượng bán các khoản đầu tư tài chính,69.723.321.466,4.216.000.000,,69723321466.0,4216000000.0
,,,"Cổ tức, lợi nhuận được chia",2.416.835.500,6.136.537.085,,2416835500.0,6136537085.0
,,,Lãi chênh lệch tỷ giá,318.024.680,2.364.453.443,,318024680.0,2364453443.0
,,,"Lãi bán hàng trả chậm, chiết khấu thanh toán",27.256,1.677.005,,27256.0,1677005.0
,,,Doanh thu hoạt động tài chính khác,25.170,,,25170.0,
,,,Cộng,90.349.743.460,23.704.306.892,,90349743460.0,23704306892.0
6.,6.,6.,Chi phí tài chính,Năm nayVND,Năm trướcVND,,,
,,,Lãi tiền vay,16.997.532.131,15.687.433.198,,16997532131.0,15687433198.0
,,,"Chiết khấu thanh toán, lãi bán hàng trả chậm",99.155.303,27.324.528,,99155303.0,27324528.0
,,,Lỗ do thanh lý các khoản đầu tư tài chính,12.598.303.924,4.224.168.113,,12598303924.0,4224168113.0
,,,Lỗ chênh lệch tỷ giá đã thực hiện,37.391,896.453,,37391.0,896453.0
,,,Lỗ chênh lệch tỷ giá chưa thực hiện,,23.419.265.222,,,23419265222.0
,,,Dự phòng giảm giá chứng khoán KD và tổn thất đầu tư,(1.313.318.418),8.091.297.389,,-1313318418.0,8091297389.0
,,,Chi phí tài chính khác,150.728.122,216.520.113,,150728122.0,216520113.0
,,,Cộng,28.532.438.453,51.666.905.016,,28532438453.0,51666905016.0
7.,7.,7.,Chi phí bán hàng,Năm nayVND,Năm trướcVND,,,
,,,Chi phí cho nhân viên bán hàng,29.202.591.039,26.678.926.874,,29202591039.0,26678926874.0
,,,Chi phí Công cụ dụng cụ,9.058.952.432,10.008.972.813,,9058952432.0,10008972813.0
,,,Chi phí khấu hao TSCĐ,5.623.544.104,5.328.993.557,,5623544104.0,5328993557.0
,,,Chi phí nguyên vật liệu,1.400.664.182,1.092.503.986,,1400664182.0,1092503986.0
,,,Chi phí môi giới,25.646.586.234,7.015.924.657,,25646586234.0,7015924657.0
,,,"Chi phí tiếp thị, quảng cáo",603.847.752,621.153.818,,603847752.0,621153818.0
,,,Chi phí sửa chữa,706.709.463,,,706709463.0,
,,,Chi phí điện nước,4.460.749.845,4.536.055.454,,4460749845.0,4536055454.0
,,,Chi phí vận chuyển,2.632.525.948,6.724.631.941,,2632525948.0,6724631941.0
,,,Chi phí khác,11.316.061.334,12.466.869.877,,11316061334.0,12466869877.0
,,,Cộng,90.652.232.333,74.474.032.977,,90652232333.0,74474032977.0
8.,8.,8.,Chi phí quản lý doanh nghiệp,Năm nayVND,Năm trướcVND,,,
,,,Chi phí cho nhân viên quản lý,45.475.738.221,40.555.349.826,,45475738221.0,40555349826.0
,,,"Chi phí hội nghị, tiếp khách",3.342.512.340,4.125.204.549,,3342512340.0,4125204549.0
,,,Dự phòng phải thu khó đòi,,1.036.967.738,,,1036967738.0
