row_label_raw,row_label_full,b) Chi phí trả trước dài hạn,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Công cụ dụng cụ,Công cụ dụng cụ,Công cụ dụng cụ,11.757.610.597,11.459.178.013,11757610597.0,11459178013.0
Chi phí thuê văn phòng dài hạn,Chi phí thuê văn phòng dài hạn,Chi phí thuê văn phòng dài hạn,3.897.571.140,4.916.302.723,3897571140.0,4916302723.0
Chi phí hoàn thiện văn phòng,Chi phí hoàn thiện văn phòng,Chi phí hoàn thiện văn phòng,,1.093.102.184,,1093102184.0
Chi phí sửa chữa thường xuyên,Chi phí sửa chữa thường xuyên,Chi phí sửa chữa thường xuyên,1.934.900.483,6.503.638.119,1934900483.0,6503638119.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,,890.317.565,,890317565.0
Chi phí chờ phân bổ dài hạn khác,Chi phí chờ phân bổ dài hạn khác,Chi phí chờ phân bổ dài hạn khác,7.932.909.039,6.078.199.353,7932909039.0,6078199353.0
Cộng,Cộng,Cộng,25.522.991.259,30.940.737.957,25522991259.0,30940737957.0
