row_label_raw,row_label_full,Nội dung nghiệp vụ/Bên liên quan,Mối quan hệ,Giá trị giao dịch VND,Số dư cuối kỳ phải thu/(phải trả) VND,numeric__Mối quan hệ,numeric__Giá trị giao dịch VND,numeric__Số dư cuối kỳ phải thu/(phải trả) VND
Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Công ty liên kết,388.529.027,77.485.045,,388529027.0,77485045.0
Công ty CP Đầu tư Phát triển XD-Bê Tông,Công ty CP Đầu tư Phát triển XD-Bê Tông,Công ty CP Đầu tư Phát triển XD-Bê Tông,Công ty liên kết,358.093.451,89.405.388,,358093451.0,89405388.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết,775.577.512,1.039.018.514,,775577512.0,1039018514.0
Công ty CP Đầu tư Việt Thiên Lâm,Công ty CP Đầu tư Việt Thiên Lâm,Công ty CP Đầu tư Việt Thiên Lâm,Công ty liên kết,-,199.363.995.196,,,199363995196.0
Công ty CP DIC Số 4,Công ty CP DIC Số 4,Công ty CP DIC Số 4,Bên liên quan,15.202.500,52.500.000.000,,15202500.0,52500000000.0
Công ty TNHH J&D Đại An,Công ty TNHH J&D Đại An,Công ty TNHH J&D Đại An,Bên liên quan,-,93.082.175,,,93082175.0
Phải thu của khách hàng dài hạn,Phải thu của khách hàng dài hạn,Phải thu của khách hàng dài hạn,Phải thu của khách hàng dài hạn,Phải thu của khách hàng dài hạn,Phải thu của khách hàng dài hạn,,,
Công ty CP Đầu tư Việt Thiên Lâm,Phải thu của khách hàng dài hạn > Công ty CP Đầu tư Việt Thiên Lâm,Công ty CP Đầu tư Việt Thiên Lâm,Bên liên quan,-,119.618.397.118,,,119618397118.0
Ông Phan Văn Bình,Phải thu của khách hàng dài hạn > Ông Phan Văn Bình,Ông Phan Văn Bình,Bên liên quan,-,20.369.021.195,,,20369021195.0
Ông Nguyễn Vũ Tuấn,Phải thu của khách hàng dài hạn > Ông Nguyễn Vũ Tuấn,Ông Nguyễn Vũ Tuấn,Bên liên quan,-,20.369.016.499,,,20369016499.0
Ông Lê Văn Hường,Phải thu của khách hàng dài hạn > Ông Lê Văn Hường,Ông Lê Văn Hường,Bên liên quan,-,8.318.000.000,,,8318000000.0
Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,,,
Công ty CP Bất động sản DIC,Phải thu khác ngắn hạn > Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,Công ty liên kết,14.951.324,-,,14951324.0,
Công ty CP Đầu tư Phát triển Phương Nam,Phải thu khác ngắn hạn > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết,657.258.861,469.344.944,,657258861.0,469344944.0
