row_label_raw,row_label_full,Cho năm tài chính2017,Thương mại,Dịch vụ,Xây dựng,Bất động sản,Tổng cộng VND,numeric__Thương mại,numeric__Dịch vụ,numeric__Xây dựng,numeric__Bất động sản,numeric__Tổng cộng VND
Chỉ phí quản lý doanh nghiệp,Chỉ phí quản lý doanh nghiệp,Chỉ phí quản lý doanh nghiệp,,,,,(93.751.545.087),,,,,-93751545087.0
Thủ nhập khác,Thủ nhập khác,Thủ nhập khác,,,,,52.900.607.699,,,,,52900607699.0
Chỉ phí khác,Chỉ phí khác,Chỉ phí khác,,,,,(4.370.483.447),,,,,-4370483447.0
Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,,,,,(39.192.766.796),,,,,-39192766796.0
Chi phí thuế TNDN hoãn lại phải trả,Chi phí thuế TNDN hoãn lại phải trả,Chi phí thuế TNDN hoãn lại phải trả,,,,,(13.761.014.437),,,,,-13761014437.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,202.389.875.768,,,,,202389875768.0
Cho năm tài chính 2015,Cho năm tài chính 2015,Cho năm tài chính 2015,Thương mại,"Dịch vụ, khác",Xây dựng,Bất động sản,Tổng cộng VND,,,,,
Doanh thu thuần bộ phận,Cho năm tài chính 2015 > Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,462.417.552.045,183.181.434.858,60.632.103.723,445.697.497.698,1.151.928.588.324,462417552045.0,183181434858.0,60632103723.0,445697497698.0,1151928588324.0
Chi phí bộ phận,Cho năm tài chính 2015 > Chi phí bộ phận,Chi phí bộ phận,(411.299.774.740),(145.449.621.367),(13.808.485.581),(262.784.641.319),(833.342.523.007),-411299774740.0,-145449621367.0,-13808485581.0,-262784641319.0,-833342523007.0
Kết quả kinh doanh bộ phận,Cho năm tài chính 2015 > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,51.117.777.305,37.731.813.491,46.823.618.142,182.912.856.379,318.586.065.317,51117777305.0,37731813491.0,46823618142.0,182912856379.0,318586065317.0
Doanh thu tài chính,Cho năm tài chính 2015 > Doanh thu tài chính,Doanh thu tài chính,,,,,23.704.306.892,,,,,23704306892.0
Chi phí tài chính,Cho năm tài chính 2015 > Chi phí tài chính,Chi phí tài chính,,,,,(51.666.905.016),,,,,-51666905016.0
"Phần lãi hoặc lỗ trong Công ty liên doanh, liên kết","Cho năm tài chính 2015 > Phần lãi hoặc lỗ trong Công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong Công ty liên doanh, liên kết",,,,,(42.970.446.005),,,,,-42970446005.0
Chi phí bán hàng,Cho năm tài chính 2015 > Chi phí bán hàng,Chi phí bán hàng,,,,,(74.474.032.977),,,,,-74474032977.0
Chi phí quản lý doanh nghiệp,Cho năm tài chính 2015 > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,(82.419.435.982),,,,,-82419435982.0
Thu nhập khác,Cho năm tài chính 2015 > Thu nhập khác,Thu nhập khác,,,,,6.767.645.282,,,,,6767645282.0
Chi phí khác,Cho năm tài chính 2015 > Chi phí khác,Chi phí khác,,,,,(5.710.185.630),,,,,-5710185630.0
Thuế thu nhập doanh nghiệp hiện hành,Cho năm tài chính 2015 > Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,,,,,(31.547.425.874),,,,,-31547425874.0
Chi phí thuế TNDN hoãn lại phải trả,Cho năm tài chính 2015 > Chi phí thuế TNDN hoãn lại phải trả,Chi phí thuế TNDN hoãn lại phải trả,,,,,5.367.588.987,,,,,5367588987.0
Lợi nhuận sau thuế,Cho năm tài chính 2015 > Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,65.637.174.994,,,,,65637174994.0
