row_label_raw,row_label_full,10. Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,255.343.657.001,91.817.011.881,255343657001.0,91817011881.0
"Các khoản điều chỉnh tăng, (giảm)","Các khoản điều chỉnh tăng, (giảm)","Các khoản điều chỉnh tăng, (giảm)",92.786.115.251,69.047.664.805,92786115251.0,69047664805.0
Lãi (lỗ) từ Công ty con,Lãi (lỗ) từ Công ty con,Lãi (lỗ) từ Công ty con,13.776.414.860,16.398.419.556,13776414860.0,16398419556.0
"Hoàn nhập dự phòng từ Công ty con, Công ty liên kết","Hoàn nhập dự phòng từ Công ty con, Công ty liên kết","Hoàn nhập dự phòng từ Công ty con, Công ty liên kết",(8.351.404.091),(3.061.074.396),-8351404091.0,-3061074396.0
"Lãi (lỗ) trong Công ty Liên doanh, liên kết","Lãi (lỗ) trong Công ty Liên doanh, liên kết","Lãi (lỗ) trong Công ty Liên doanh, liên kết",62.488.637.454,42.970.446.005,62488637454.0,42970446005.0
Lãi chưa thực hiện từ việc bán tài sản,Lãi chưa thực hiện từ việc bán tài sản,Lãi chưa thực hiện từ việc bán tài sản,(458.259.344),(458.259.342),-458259344.0,-458259342.0
Chi phí không được trừ khi tính thuế TNDN,Chi phí không được trừ khi tính thuế TNDN,Chi phí không được trừ khi tính thuế TNDN,25.360.547.846,3.208.458.667,25360547846.0,3208458667.0
