row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Đơn vị tính: đồng Việt Nam > Số cuối năm,Đơn vị tính: đồng Việt Nam > Số đầu năm,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Đơn vị tính: đồng Việt Nam > Số cuối năm,numeric__Đơn vị tính: đồng Việt Nam > Số đầu năm
300,300,300,NỘ PHẢI TRẢ,,3.192.668.780.809,3.077.744.741.352,,,3192668780809.0,3077744741352.0
310,310,310,Nợ ngắn hạn,,1.607.679.312.569,1.298.517.198.101,,,1607679312569.0,1298517198101.0
311,311,311,Phải trả người bán ngắn hạn,V.16,214.120.906.402,160.109.952.362,,,214120906402.0,160109952362.0
312,312,312,Người mua trả tiền trước ngắn hạn,V.17,760.253.405.046,513.518.552.032,,,760253405046.0,513518552032.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,V.18,42.005.149.154,36.200.143.550,,,42005149154.0,36200143550.0
314,314,314,Phải trả người lao động,,23.146.523.680,21.169.457.524,,,23146523680.0,21169457524.0
315,315,315,Chi phí phải trả ngắn hạn,V.19,95.597.312.852,95.733.841.989,,,95597312852.0,95733841989.0
316,316,316,Phải trả nội bộ ngắn hạn,,-,-,,,,
317,317,317,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,-,-,,,,
318,317 > 318,318,Doanh thu chưa thực hiện ngắn hạn,V.20,3.374.235.992,5.457.677.373,,,3374235992.0,5457677373.0
319,317 > 319,319,Phải trả ngắn hạn khác,V.21,106.920.573.206,162.833.304.178,,,106920573206.0,162833304178.0
320,317 > 320,320,Vay và nợ thuê tài chính ngắn hạn,V.22,364.231.604.737,306.516.839.111,,,364231604737.0,306516839111.0
321,321,321,Dự phòng phải trả ngắn hạn,,-,-,,,,
322,321 > 322,322,"Quỹ khen thưởng, phúc lợi",V.23,(1.970.398.500),(3.022.570.018),,,-1970398500.0,-3022570018.0
323,323,323,Quỹ bình ổn giá,,-,-,,,,
324,324,324,Giao dịch mua bán lại trái phiếu Chính phủ,,-,-,,,,
330,324 > 330,330,Nợ dài hạn,,1.584.989.468.240,1.779.227.543.251,,,1584989468240.0,1779227543251.0
331,331,331,Phải trả người bán dài hạn,,-,-,,,,
332,332,332,Người mua trả tiền trước dài hạn,,-,-,,,,
333,333,333,Chi phí phải trả dài hạn,,-,-,,,,
334,334,334,Phải trả nội bộ về vốn kinh doanh,,-,-,,,,
335,335,335,Phải trả nội bộ dài hạn,,-,-,,,,
336,335 > 336,336,Doanh thu chưa thực hiện dài hạn,V.20,156.950.623.988,309.614.748.860,,,156950623988.0,309614748860.0
337,335 > 337,337,Phải trả dài hạn khác,V.21,1.092.524.500,1.411.929.462,,,1092524500.0,1411929462.0
338,335 > 338,338,Vay và nợ thuê tài chính dài hạn,V.22,1.395.463.815.466,1.430.867.580.735,,,1395463815466.0,1430867580735.0
339,339,339,Trái phiếu chuyển đổi,,-,-,,,,
340,340,340,Cổ phiếu ưu đãi,,-,-,,,,
341,340 > 341,341,Thuế thu nhập hoãn lại phải trả,V.24,29.734.156.302,36.688.060.483,,,29734156302.0,36688060483.0
342,340 > 342,342,Dự phòng phải trả dài hạn,V.25,1.748.347.984,645.223.711,,,1748347984.0,645223711.0
343,343,343,Quỹ phát triển khoa học và công nghệ,,-,-,,,,
400,343 > 400,400,VỐN CHỦ SỐ HỮU,,2.890.561.162.978,2.798.060.953.720,,,2890561162978.0,2798060953720.0
410,343 > 410,410,Vốn chủ sở hữu,V.26,2.890.561.162.978,2.798.060.953.720,,,2890561162978.0,2798060953720.0
411,343 > 411,411,Vốn góp của chủ sở hữu,,2.381.948.190.000,2.381.948.190.000,,,2381948190000.0,2381948190000.0
411a,343 > 411a,411a,Cổ phiếu phổ thông có quyền biểu quyết,,2.381.948.190.000,2.381.948.190.000,,,2381948190000.0,2381948190000.0
411b,411b,411b,Cổ phiếu ưu đãi,,-,-,,,,
412,411b > 412,412,Thặng dư vốn cổ phần,,66.111.261.707,66.111.261.707,,,66111261707.0,66111261707.0
413,413,413,Quyền chọn chuyển đổi trái phiếu,,-,-,,,,
414,414,414,Vốn khác của chủ sở hữu,,-,-,,,,
