row_label_raw,row_label_full,a) Doanh thu chưa thực hiện ngắn hạn,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Doanh thu nhận trước về cho thuê tài sản,Doanh thu nhận trước về cho thuê tài sản,Doanh thu nhận trước về cho thuê tài sản,3.374.235.992,3.374.235.992,3374235992.0,3374235992.0
Doanh thu nhận trước khác,Doanh thu nhận trước khác,Doanh thu nhận trước khác,-,2.083.441.381,,2083441381.0
Cộng,Cộng,Cộng,3.374.235.992,5.457.677.373,3374235992.0,5457677373.0
