row_label_raw,row_label_full,10. Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Chênh lệch tỷ giá hối đoái lỗ Vina Đại Phước,Chênh lệch tỷ giá hối đoái lỗ Vina Đại Phước,Chênh lệch tỷ giá hối đoái lỗ Vina Đại Phước,13.706.551.071,23.419.265.222,13706551071.0,23419265222.0
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,25.779.609,102.056.353,25779609.0,102056353.0
"Thù lao HĐQT, BKS không trực tiếp điều hành","Thù lao HĐQT, BKS không trực tiếp điều hành","Thù lao HĐQT, BKS không trực tiếp điều hành",247.000.000,246.000.000,247000000.0,246000000.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,1.024.688.314,49.902.917,1024688314.0,49902917.0
Chuyển lỗ các năm sau,Chuyển lỗ các năm sau,Chuyển lỗ các năm sau,6.082.665.178,-,6082665178.0,
Chuyển lỗ các năm trước,Chuyển lỗ các năm trước,Chuyển lỗ các năm trước,(3.558.553.087),(5.326.920.720),-3558553087.0,-5326920720.0
Hoàn nhập dự phòng phải thu khó đòi,Hoàn nhập dự phòng phải thu khó đòi,Hoàn nhập dự phòng phải thu khó đòi,(9.223.129.348),-,-9223129348.0,
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,,(2.364.092.372),,-2364092372.0
Cổ tức,Cổ tức,Cổ tức,(8.334.823.211),(6.136.537.085),-8334823211.0,-6136537085.0
Tổng lợi nhuận tính thuế,Tổng lợi nhuận tính thuế,Tổng lợi nhuận tính thuế,348.129.772.252,160.864.676.686,348129772252.0,160864676686.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,39.192.766.796,31.547.425.874,39192766796.0,31547425874.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,13.761.014.437,(5.459.240.856),13761014437.0,-5459240856.0
Chi phí thuế thuế thu nhập doanh nghiệp,Chi phí thuế thuế thu nhập doanh nghiệp,Chi phí thuế thuế thu nhập doanh nghiệp,52.953.781.233,37.006.666.730,52953781233.0,37006666730.0
11. Chi phí thuế thu nhập doanh nghiệp hoãn lại,11. Chi phí thuế thu nhập doanh nghiệp hoãn lại,11. Chi phí thuế thu nhập doanh nghiệp hoãn lại,Năm nayVND,Năm trướcVND,,
