row_label_raw,row_label_full,Másố,CHỈ TIÊU,Thuyếtminh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyếtminh,numeric__Năm nay,numeric__Năm trước
Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
01,Lưu chuyển tiền từ hoạt động kinh doanh > 01,01,Lợi nhuận trước thuế,,255.343.657.001,91.817.011.881,,,255343657001.0,91817011881.0
01,01,01,Điều chỉnh cho các khoản,,,,,,,
02,01 > 02,02,Khấu hao tài sản cố định và bất động sản đầu tư,,19.227.668.529,22.497.102.856,,,19227668529.0,22497102856.0
03,01 > 03,03,Các khoản dự phòng,,(8.485.232.499),1.212.705.174,,,-8485232499.0,1212705174.0
04,01 > 04,04,"Lãi, lỗ chênh lệch tỷ giá do đánh giá lại khoản mục tiền",,(1.500.193),21.055.708.232,,,-1500193.0,21055708232.0
05,01 > 05,05,"Lãi, lỗ từ hoạt động đầu tư",,(89.106.683.487),(17.517.512.626),,,-89106683487.0,-17517512626.0
06,01 > 06,06,Chi phí lãi vay,,15.976.314.243,15.687.433.198,,,15976314243.0,15687433198.0
08,01 > 08,08,Lợi nhuận từ hoạt động KD trước thay đổi vốn LĐ,,187.858.852.555,134.752.448.715,,,187858852555.0,134752448715.0
09,01 > 09,09,"Tăng, giảm các khoản phải thu",,113.330.972.123,(293.715.748.755),,,113330972123.0,-293715748755.0
10,01 > 10,10,"Tăng, giảm hàng tồn kho",,(513.846.839.370),(421.839.126.054),,,-513846839370.0,-421839126054.0
11,01 > 11,11,"Tăng, giảm các khoản phải trả",,156.990.145.007,409.901.403.881,,,156990145007.0,409901403881.0
12,01 > 12,12,"Tăng, giảm chi phí trả trước",,515.731.636,(39.174.568.393),,,515731636.0,-39174568393.0
13,13,13,"Tăng, giảm chứng khoán kinh doanh",,,,,,,
14,13 > 14,14,Tiền lãi vay đã trả,,(186.481.725.834),(146.577.042.819),,,-186481725834.0,-146577042819.0
15,13 > 15,15,Thuế thu nhập doanh nghiệp đã nộp,,(34.904.611.462),(6.728.991.201),,,-34904611462.0,-6728991201.0
16,13 > 16,16,Tiền thu khác từ hoạt động kinh doanh,,13.732.580.462,,,,13732580462.0,
