row_label_raw,row_label_full,STT,Tên bên liên quan,Mối quan hệ,numeric__Tên bên liên quan,numeric__Mối quan hệ
1,1,1,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty liên kết,,
2,2,2,Công ty TNHH Saigontel Long An,Công ty liên kết,,
3,3,3,Công ty Cổ phần Scanviwood,Công ty liên kết,,
4,4,4,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Công ty liên kết,,
5,5,5,Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,Công ty liên kết,,
6,6,6,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty liên kết,,
7,7,7,Công ty Cổ phần Đầu tư Bất động sân Saigontel,Công ty con của công ty liên kết,,
8,8,8,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty có chung thành viên quản lý chủ chốt,,
9,9,9,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty có chung thành viên quản lý chủ chốt,,
10,10,10,Công ty TNHH Một thành viên Đầu tư Đà Nẵng – Long An,Công ty con của công ty liên kết,,
11,11,11,Công ty Cổ phần Tập đoàn Đầu tư Vũng Tàu,Công ty có chung thành viên quản lý chủ chốt,,
12,12,12,Công ty Cổ phần Kum-ba,Công ty có chung thành viên quản lý chủ chốt,,
13,13,13,Ông Đăng Thành Tâm,Chủ tịch Hội đồng Quản trị (HĐQT),,
14,14,14,Bà Nguyễn Thị Thu Hương,Thành viên HĐQT kiểm Tổng Giám đốc,,
15,15,15,Ông Phan Anh Dũng,Phó Tổng Giám đốc,,
16,16,16,Bà Nguyễn Mỹ Ngọc,Phó Tổng Giám đốc,,
17,17,17,Ông Mai Tuấn Dũng,Tổng Giám đốc của công ty con,,
18,18,18,Ông Vũ Thanh Dương,Phó Tổng Giám đốc của công ty con,,
19,19,19,Ông Nguyễn Hoàng Kỳ Lân,Thành viên HĐQT của công ty con,,
20,20,20,Ông Đăng Nguyễn Nam Anh,Phó Tổng Giám đốc,,
