row_label_raw,row_label_full,col_0,Thuyết minh số,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Thuyết minh số,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,16.1,4.394.274.905.745,4.378.361.952.386,161.0,4394274905745.0,4378361952386.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,16.2,424.500.200.000,424.500.200.000,162.0,424500200000.0,424500200000.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(1.348.074.922),(26.018.164.785),,-1348074922.0,-26018164785.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,4.817.427.030.823,4.776.843.987.601,,4817427030823.0,4776843987601.0
