row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích (%),Tỷ lệ lợi ích (%)_1,Tỷ lệ biểu quyết (%),Tỷ lệ biểu quyết (%)_1,Thông tin công ty,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ lợi ích (%)_1,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ biểu quyết (%)_1,numeric__Thông tin công ty
Tên công ty,Tên công ty,Tên công ty,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,Thông tin công ty,,,,,
Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Tên công ty > Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,48%,48%,48%,48%,(i),0.48,0.48,0.48,0.48,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Tên công ty > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,"35,49%","35,49%",45%,45%,(ii),0.3549,0.3549,0.45,0.45,
Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,Tên công ty > Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,"22,72%","22,72%","25,45%","25,45%",(iii),0.22719999999999999,0.22719999999999999,0.2545,0.2545,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Tên công ty > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,"21,48%","21,48%","21,48%","21,48%",(iv),0.2148,0.2148,0.2148,0.2148,
Công ty TNHH Saigontel Long An,Tên công ty > Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,"22,32%","22,32%",25%,25%,(v),0.2232,0.2232,0.25,0.25,
Công ty Cổ phần Scanviwood,Tên công ty > Công ty Cổ phần Scanviwood,Công ty Cổ phần Scanviwood,34%,34%,34%,34%,(vi),0.34,0.34,0.34,0.34,
