row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả nhận chuyển nhượng vốn góp (i),Ngắn hạn > Phải trả nhận chuyển nhượng vốn góp (i),Phải trả nhận chuyển nhượng vốn góp (i),1.804.868.000.000,1.804.868.000.000,1804868000000.0,1804868000000.0
Nhận đặt cọc thực hiện nghĩa vụ hợp đồng của các dự án bắt động sản và cho thuê dài hạn KCN (ii),Ngắn hạn > Nhận đặt cọc thực hiện nghĩa vụ hợp đồng của các dự án bắt động sản và cho thuê dài hạn KCN (ii),Nhận đặt cọc thực hiện nghĩa vụ hợp đồng của các dự án bắt động sản và cho thuê dài hạn KCN (ii),887.445.164.270,1.056.454.508.670,887445164270.0,1056454508670.0
Phải trả khác,Ngắn hạn > Phải trả khác,Phải trả khác,313.214.705.165,194.486.834.850,313214705165.0,194486834850.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,3.005.527.869.435,3.055.809.343.520,3005527869435.0,3055809343520.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Nhận đặt cọc đảm bảo thực hiện hợp đồng (iii),Dài hạn > Nhận đặt cọc đảm bảo thực hiện hợp đồng (iii),Nhận đặt cọc đảm bảo thực hiện hợp đồng (iii),5.650.000.000.000,-,5650000000000.0,
Nhận đặt cọc chuyển nhượng cổ phần (iv),Dài hạn > Nhận đặt cọc chuyển nhượng cổ phần (iv),Nhận đặt cọc chuyển nhượng cổ phần (iv),339.000.000.000,-,339000000000.0,
Phải trả khác,Dài hạn > Phải trả khác,Phải trả khác,90.254.094.359,27.417.079.156,90254094359.0,27417079156.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,6.079.254.094.359,27.417.079.156,6079254094359.0,27417079156.0
