row_label_raw,row_label_full,Bên liên quan,Số cuối năm (VND),Ngày đáo hạn,Lãi vay (%/năm),numeric__Số cuối năm (VND),numeric__Ngày đáo hạn,numeric__Lãi vay (%/năm)
Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Cho vay ngắn hạn > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,678.131.813.181,Tháng 1 đến tháng 11 năm 2024,1-11%,678131813181.0,,
Công ty TNHH Saigontel Long An,Cho vay ngắn hạn > Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,158.460.000.000,Tháng 12 năm 2024,6%,158460000000.0,,0.06
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Cho vay ngắn hạn > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,143.000.000.000,Tháng 12 năm 2024,8-12%,143000000000.0,,
Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Cho vay ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,117.521.929.895,Tháng 4 đến tháng 12 năm 2024,12%,117521929895.0,,0.12
Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,Cho vay ngắn hạn > Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2,1.700.000.000,Tháng 5 năm 2024,10%,1700000000.0,,0.1
TỔNG CỘNG,Cho vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.098.813.743.076,,,1098813743076.0,,
Cho vay dài hạn,Cho vay dài hạn,Cho vay dài hạn,Cho vay dài hạn,Cho vay dài hạn,Cho vay dài hạn,,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Cho vay dài hạn > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,439.000.000.000,Tháng 10 năm 2025,5-10%,439000000000.0,,
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Cho vay dài hạn > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,85.000.000.000,Tháng 5 năm 2025,11%,85000000000.0,,0.11
TỔNG CỘNG,Cho vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,524.000.000.000,,,524000000000.0,,
