row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối nămGiá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối nămGiá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay ngân hàng(Thuyết minh số 22.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh số 22.1),Vay ngân hàng(Thuyết minh số 22.1),-,184.301.015.718,(134.359.566.245),49.941.449.473,,184301015718.0,-134359566245.0,49941449473.0
Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 22.2),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 22.2),Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 22.2),118.243.250.730,332.785.749.794,(223.816.089.400),227.212.911.124,118243250730.0,332785749794.0,-223816089400.0,227212911124.0
Vay các bên liên quan(Thuyết minh số 31.4),Vay ngắn hạn > Vay các bên liên quan(Thuyết minh số 31.4),Vay các bên liên quan(Thuyết minh số 31.4),30.000.000.000,8.500.000.000,(30.000.000.000),8.500.000.000,30000000000.0,8500000000.0,-30000000000.0,8500000000.0
Vay đối tượng khác(Thuyết minh số 22.3),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 22.3),Vay đối tượng khác(Thuyết minh số 22.3),189.080.000.000,-,(103.250.000.000),85.830.000.000,189080000000.0,,-103250000000.0,85830000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,337.323.250.730,525.586.765.512,(491.425.655.645),371.484.360.597,337323250730.0,525586765512.0,-491425655645.0,371484360597.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Vay ngân hàng(Thuyết minh số 22.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 22.2),Vay ngân hàng(Thuyết minh số 22.2),3.313.549.863.699,8.176.694.833.149,(2.763.851.047.795),8.726.393.649.053,3313549863699.0,8176694833149.0,-2763851047795.0,8726393649053.0
Trái phiếu dài hạn(Thuyết minh số 22.4),Vay dài hạn > Trái phiếu dài hạn(Thuyết minh số 22.4),Trái phiếu dài hạn(Thuyết minh số 22.4),-,1.006.802.777.778,(39.500.000.000),967.302.777.778,,1006802777778.0,-39500000000.0,967302777778.0
Vay các bên liên quan(Thuyết minh số 31.4),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 31.4),Vay các bên liên quan(Thuyết minh số 31.4),-,30.000.000.000,-,30.000.000.000,,30000000000.0,,30000000000.0
Vay đối tượng khác(Thuyết minh số 22.3),Vay dài hạn > Vay đối tượng khác(Thuyết minh số 22.3),Vay đối tượng khác(Thuyết minh số 22.3),8.500.000.000,17.400.000.000,(8.500.000.000),17.400.000.000,8500000000.0,17400000000.0,-8500000000.0,17400000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.322.049.863.699,9.230.897.610.927,(2.811.851.047.795),9.741.096.426.831,3322049863699.0,9230897610927.0,-2811851047795.0,9741096426831.0
