row_label_raw,row_label_full,Tên dự án,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Khu Đô thị và dịch vụ Tràng Cát,Khu Đô thị và dịch vụ Tràng Cát,Khu Đô thị và dịch vụ Tràng Cát,8.442.637.722.173,-,8.171.350.949.273,-,8442637722173.0,,8171350949273.0,
Khu đô thị Phúc Ninh,Khu đô thị Phúc Ninh,Khu đô thị Phúc Ninh,1.119.329.422.009,-,1.113.431.771.966,-,1119329422009.0,,1113431771966.0,
Khu công nghiệp Tân Phú Trung,Khu công nghiệp Tân Phú Trung,Khu công nghiệp Tân Phú Trung,984.142.101.887,-,928.319.771.966,-,984142101887.0,,928319771966.0,
Nhà ở xã hội Evergreen Bắc Giang,Nhà ở xã hội Evergreen Bắc Giang,Nhà ở xã hội Evergreen Bắc Giang,773.332.297.639,-,659.938.099.539,-,773332297639.0,,659938099539.0,
Khu công nghiệp Nam Sơn - Hạp Lĩnh,Khu công nghiệp Nam Sơn - Hạp Lĩnh,Khu công nghiệp Nam Sơn - Hạp Lĩnh,674.702.179.625,-,635.931.308.736,-,674702179625.0,,635931308736.0,
Nhà ở xã hội Tràng Duệ,Nhà ở xã hội Tràng Duệ,Nhà ở xã hội Tràng Duệ,332.221.286.628,-,76.508.335.305,-,332221286628.0,,76508335305.0,
Khu đô thị Tràng Duệ,Khu đô thị Tràng Duệ,Khu đô thị Tràng Duệ,285.119.288.646,-,264.179.021.446,-,285119288646.0,,264179021446.0,
Cụm Công nghiệp Đặng Lễ,Cụm Công nghiệp Đặng Lễ,Cụm Công nghiệp Đặng Lễ,387.734.759.919,-,62.112.484.689,-,387734759919.0,,62112484689.0,
Cụm Công nghiệp Kim Động,Cụm Công nghiệp Kim Động,Cụm Công nghiệp Kim Động,187.895.019.577,-,34.958.336.865,-,187895019577.0,,34958336865.0,
Cụm Công nghiệp Chính Nghĩa,Cụm Công nghiệp Chính Nghĩa,Cụm Công nghiệp Chính Nghĩa,198.704.624.645,-,5.545.915.076,-,198704624645.0,,5545915076.0,
Các dự án khác,Các dự án khác,Các dự án khác,463.855.239.120,-,342.996.446.218,-,463855239120.0,,342996446218.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,13.849.673.941.868,-,12.218.764.105.774,-,13849673941868.0,,12218764105774.0,
